packet_id,instance_id,system_id,faithfulness_mean,priority_rank,annotation_origin,source_template_id,candidate_reason,candidate_eligible,selected,selection_reason,repair_attempted,outcome,if_not_selected_why,packet_json_sha256,scaffold_lean_sha256,diagnostics_json_sha256,packet_json_path,diagnostics_path
hp_arrays_binary_search_006__naive_concat_v1,arrays_binary_search_006,naive_concat_v1,0.875000,117,direct_adjudicated,arrays_binary_search_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:9a0fc4ffca0d7cd56b7a7042c3ded25630d54452731fc77802fea119e5bfed0d,sha256:e9153224f031195cf8b8c16bded0b04cba45555b7093e89eeaffc2cb1a3253f7,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_001/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_001/lean_diagnostics.json
hp_arrays_binary_search_006__text_only_v1,arrays_binary_search_006,text_only_v1,0.857100,113,direct_adjudicated,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:684105e160e43c4f6dee7b73edfc118e97fdef94cfa601af9a947f0cdbe037f6,sha256:ccf3d0c3c3df03de958dfa92c6a8166d33a0362515b58020b48d9271b9055a68,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_binary_search_007__code_only_v1,arrays_binary_search_007,code_only_v1,1.000000,153,mapped_from_canonical,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:b38299e9c25e0da970060560c4bc1f651507a9fb74b9b2fe8f474c7955eba132,sha256:ccf3d0c3c3df03de958dfa92c6a8166d33a0362515b58020b48d9271b9055a68,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_binary_search_007__full_method_v1,arrays_binary_search_007,full_method_v1,0.875000,118,direct_adjudicated,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:4c270a40fdca322f4900a06359528de6de9b696bf29c7ab65a675b994586efc5,sha256:e9e3c541ba53910ec5a7a129346e4acc48a0a0cea06727e37c942ba3d0f1b113,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_binary_search_007__naive_concat_v1,arrays_binary_search_007,naive_concat_v1,1.000000,154,mapped_from_canonical,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:0828f0c0a9f5cbf2a1baa30c1f8d0a9f5645a33a5f196b98e69bc21d22f6551f,sha256:ccf3d0c3c3df03de958dfa92c6a8166d33a0362515b58020b48d9271b9055a68,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_binary_search_007__text_only_v1,arrays_binary_search_007,text_only_v1,0.857100,114,direct_adjudicated,arrays_binary_search_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:684105e160e43c4f6dee7b73edfc118e97fdef94cfa601af9a947f0cdbe037f6,sha256:ccf3d0c3c3df03de958dfa92c6a8166d33a0362515b58020b48d9271b9055a68,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_binary_search_002/lean_diagnostics.json
hp_arrays_max_subarray_004__code_only_v1,arrays_max_subarray_004,code_only_v1,1.000000,155,mapped_from_canonical,arrays_max_subarray_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:418cfac4f7698c4fd2bc10c5b98582cca8d581fa85e685b6ea1ae5910dad8b2b,sha256:e6f0cf455c7400ed6bd3eb0ff1affef8482c93a273e4a05124e43716dbba3506,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_max_subarray_001/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_max_subarray_001/lean_diagnostics.json
hp_arrays_max_subarray_004__full_method_v1,arrays_max_subarray_004,full_method_v1,0.900000,123,direct_adjudicated,arrays_max_subarray_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:b2a079d407e9e14b9b9d63561bdc673734eb8214b92f100168e031cc7bdbed57,sha256:5b8d8057bf44e62457a3faca30fb22f52b44ccd3e190c4765aae0550d2ef3a22,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_max_subarray_001/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_max_subarray_001/lean_diagnostics.json
hp_arrays_max_subarray_004__naive_concat_v1,arrays_max_subarray_004,naive_concat_v1,0.772700,73,direct_adjudicated,arrays_max_subarray_001,missing_critical_semantic_unit,true,false,,false,not_selected,no_repair_triggered,sha256:97d8b8f59fa72436b3863afea976b91532fa21a5e092e2467b4c2f9a948e3b05,sha256:e6f0cf455c7400ed6bd3eb0ff1affef8482c93a273e4a05124e43716dbba3506,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_max_subarray_001/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_max_subarray_001/lean_diagnostics.json
hp_arrays_max_subarray_004__text_only_v1,arrays_max_subarray_004,text_only_v1,0.642900,45,direct_adjudicated,arrays_max_subarray_001,missing_critical_semantic_unit,true,false,,false,not_selected,no_repair_triggered,sha256:0196ca51f4b2038b2a8dee20dc9401906945e232e9c3c167fdc7d80c0bcdc461,sha256:e6f0cf455c7400ed6bd3eb0ff1affef8482c93a273e4a05124e43716dbba3506,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_max_subarray_001/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_max_subarray_001/lean_diagnostics.json
hp_arrays_max_subarray_005__code_only_v1,arrays_max_subarray_005,code_only_v1,1.000000,156,mapped_from_canonical,arrays_max_subarray_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:081d9210f5e3c1e56ebed9ba8684ca9ec692978af85bd78a539ce51cbec4b31c,sha256:d1ff1131a0afcaa183078ffa599d3aa933d5bef1286a4474db572259b67b30b2,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_max_subarray_002/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_max_subarray_002/lean_diagnostics.json
hp_arrays_max_subarray_005__full_method_v1,arrays_max_subarray_005,full_method_v1,0.900000,124,direct_adjudicated,arrays_max_subarray_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:a80e62f5b5922ef9340cf2d67a260d440a0af61d3a2b004ef7b315453ec1d555,sha256:19c850e39196d07cc197876e1de3419e17ac0746a3240103a0a5c36c06fe69bf,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_max_subarray_002/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_max_subarray_002/lean_diagnostics.json
hp_arrays_max_subarray_005__naive_concat_v1,arrays_max_subarray_005,naive_concat_v1,0.545500,13,direct_adjudicated,arrays_max_subarray_002,low_semantic_faithfulness;missing_critical_semantic_unit,true,false,,false,not_selected,higher_priority_hotspot_absorbed_repair_budget,sha256:5f357a83d044c9f5a86ba2a434f40bd2582a3c75a23a897f6df7d7ae341c051a,sha256:d1ff1131a0afcaa183078ffa599d3aa933d5bef1286a4474db572259b67b30b2,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_max_subarray_002/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_max_subarray_002/lean_diagnostics.json
hp_arrays_max_subarray_005__text_only_v1,arrays_max_subarray_005,text_only_v1,1.000000,157,direct_adjudicated,arrays_max_subarray_002,missing_critical_semantic_unit,true,false,,false,not_selected,no_repair_triggered,sha256:b6d6710837bc46183a56f1d47db8f1652547bfd8d64430fda1bad587fbe384fb,sha256:d1ff1131a0afcaa183078ffa599d3aa933d5bef1286a4474db572259b67b30b2,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_max_subarray_002/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_max_subarray_002/lean_diagnostics.json
hp_arrays_max_subarray_006__code_only_v1,arrays_max_subarray_006,code_only_v1,1.000000,158,mapped_from_canonical,arrays_max_subarray_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:418cfac4f7698c4fd2bc10c5b98582cca8d581fa85e685b6ea1ae5910dad8b2b,sha256:e6f0cf455c7400ed6bd3eb0ff1affef8482c93a273e4a05124e43716dbba3506,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_max_subarray_001/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_max_subarray_001/lean_diagnostics.json
hp_arrays_max_subarray_006__full_method_v1,arrays_max_subarray_006,full_method_v1,0.900000,125,direct_adjudicated,arrays_max_subarray_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:b2a079d407e9e14b9b9d63561bdc673734eb8214b92f100168e031cc7bdbed57,sha256:5b8d8057bf44e62457a3faca30fb22f52b44ccd3e190c4765aae0550d2ef3a22,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_max_subarray_001/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_max_subarray_001/lean_diagnostics.json
hp_arrays_max_subarray_006__naive_concat_v1,arrays_max_subarray_006,naive_concat_v1,0.772700,74,direct_adjudicated,arrays_max_subarray_001,missing_critical_semantic_unit,true,false,,false,not_selected,no_repair_triggered,sha256:97d8b8f59fa72436b3863afea976b91532fa21a5e092e2467b4c2f9a948e3b05,sha256:e6f0cf455c7400ed6bd3eb0ff1affef8482c93a273e4a05124e43716dbba3506,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_max_subarray_001/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_max_subarray_001/lean_diagnostics.json
hp_arrays_max_subarray_006__text_only_v1,arrays_max_subarray_006,text_only_v1,0.642900,46,direct_adjudicated,arrays_max_subarray_001,missing_critical_semantic_unit,true,false,,false,not_selected,no_repair_triggered,sha256:0196ca51f4b2038b2a8dee20dc9401906945e232e9c3c167fdc7d80c0bcdc461,sha256:e6f0cf455c7400ed6bd3eb0ff1affef8482c93a273e4a05124e43716dbba3506,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_max_subarray_001/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_max_subarray_001/lean_diagnostics.json
hp_arrays_max_subarray_007__code_only_v1,arrays_max_subarray_007,code_only_v1,1.000000,159,mapped_from_canonical,arrays_max_subarray_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:081d9210f5e3c1e56ebed9ba8684ca9ec692978af85bd78a539ce51cbec4b31c,sha256:d1ff1131a0afcaa183078ffa599d3aa933d5bef1286a4474db572259b67b30b2,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_max_subarray_002/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/arrays_max_subarray_002/lean_diagnostics.json
hp_arrays_max_subarray_007__full_method_v1,arrays_max_subarray_007,full_method_v1,0.900000,126,mapped_from_canonical,arrays_max_subarray_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:a80e62f5b5922ef9340cf2d67a260d440a0af61d3a2b004ef7b315453ec1d555,sha256:19c850e39196d07cc197876e1de3419e17ac0746a3240103a0a5c36c06fe69bf,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_max_subarray_002/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/arrays_max_subarray_002/lean_diagnostics.json
hp_arrays_max_subarray_007__naive_concat_v1,arrays_max_subarray_007,naive_concat_v1,0.545500,14,direct_adjudicated,arrays_max_subarray_002,low_semantic_faithfulness;missing_critical_semantic_unit,true,false,,false,not_selected,higher_priority_hotspot_absorbed_repair_budget,sha256:5f357a83d044c9f5a86ba2a434f40bd2582a3c75a23a897f6df7d7ae341c051a,sha256:d1ff1131a0afcaa183078ffa599d3aa933d5bef1286a4474db572259b67b30b2,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_max_subarray_002/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/arrays_max_subarray_002/lean_diagnostics.json
hp_arrays_max_subarray_007__text_only_v1,arrays_max_subarray_007,text_only_v1,1.000000,160,direct_adjudicated,arrays_max_subarray_002,missing_critical_semantic_unit,true,false,,false,not_selected,no_repair_triggered,sha256:b6d6710837bc46183a56f1d47db8f1652547bfd8d64430fda1bad587fbe384fb,sha256:d1ff1131a0afcaa183078ffa599d3aa933d5bef1286a4474db572259b67b30b2,sha256:9c9729d235cfd4897778afaf5651db6b7e91ca68f8c5d052d66de5e09734d668,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_max_subarray_002/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/arrays_max_subarray_002/lean_diagnostics.json
hp_dp_knapsack_01_004__code_only_v1,dp_knapsack_01_004,code_only_v1,0.833300,83,direct_adjudicated,dp_knapsack_01_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:349960e7a43bae6b65cf3bbe49e5b01b50848ba5ec714a081c2db45af44683ef,sha256:4b2839479f5889d1f9ec6d0a7647421754f9ff150051b0ef8bb6395aa21fea54,sha256:1aaec0a0cb7e0a1fdbe582b67fca16fa9b64c7dca1fa964623f0c5a528451cea,benchmark/v0.3/annotation/review_packets/code_only_v1/dp_knapsack_01_001/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/dp_knapsack_01_001/lean_diagnostics.json
hp_dp_knapsack_01_004__full_method_v1,dp_knapsack_01_004,full_method_v1,0.833300,84,direct_adjudicated,dp_knapsack_01_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:3ac0fc019b6dd5ccffe4496d9c23e33154bf0e39a137007a48b02606169d9eee,sha256:4b2839479f5889d1f9ec6d0a7647421754f9ff150051b0ef8bb6395aa21fea54,sha256:b6454ac42ec8a5fc98d7f2760f04fef94efeb16fa708cf00b1a8b2ef0e446a94,benchmark/v0.3/annotation/review_packets/full_method_v1/dp_knapsack_01_001/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/dp_knapsack_01_001/lean_diagnostics.json
hp_dp_knapsack_01_004__naive_concat_v1,dp_knapsack_01_004,naive_concat_v1,0.833300,85,direct_adjudicated,dp_knapsack_01_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:c9b652ef9a820a9455565a5e8d52e3c763fb20c7e315cc2f2a35d251556c4c12,sha256:4b2839479f5889d1f9ec6d0a7647421754f9ff150051b0ef8bb6395aa21fea54,sha256:c2729aadeaf4c92d7ebbff984b02b36e7670c211c2bed6110756e8909e131e90,benchmark/v0.3/annotation/review_packets/naive_concat_v1/dp_knapsack_01_001/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/dp_knapsack_01_001/lean_diagnostics.json
hp_dp_knapsack_01_004__text_only_v1,dp_knapsack_01_004,text_only_v1,0.833300,86,direct_adjudicated,dp_knapsack_01_001,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:807403dde3fe3c87b90df07e68a7e46ff062bf67824764585d6a01ba4f12eb05,sha256:4b2839479f5889d1f9ec6d0a7647421754f9ff150051b0ef8bb6395aa21fea54,sha256:9c8d095083d5421740679c8dcefa756a25a99ee3cf1cb4f5538aa1e14ac428fb,benchmark/v0.3/annotation/review_packets/text_only_v1/dp_knapsack_01_001/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/dp_knapsack_01_001/lean_diagnostics.json
hp_dp_knapsack_01_005__code_only_v1,dp_knapsack_01_005,code_only_v1,0.833300,87,direct_adjudicated,dp_knapsack_01_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:dc3abbb91569c340bef06174efce2f0485ef16d1128fd87081cd05afb03582f3,sha256:210c3dc0f6ad4a7044798664c4c605cebc599646f8d7a49ff90a3dfa06819e3e,sha256:b775e167939560a8167a306ba053e5224de1343b6caa815c0d79701ec913eaa2,benchmark/v0.3/annotation/review_packets/code_only_v1/dp_knapsack_01_002/packet.json,benchmark/v0.3/annotation/review_packets/code_only_v1/dp_knapsack_01_002/lean_diagnostics.json
hp_dp_knapsack_01_005__full_method_v1,dp_knapsack_01_005,full_method_v1,0.833300,88,direct_adjudicated,dp_knapsack_01_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:a4fb61fbc89ae6a57b1682cb6aca6eeb2484fac8ed00047149fb4ccf0dab2f7f,sha256:210c3dc0f6ad4a7044798664c4c605cebc599646f8d7a49ff90a3dfa06819e3e,sha256:9bd91e78f3ef499a189892196ab107a5602fc94f84cbf0c50ed5258c2f14c851,benchmark/v0.3/annotation/review_packets/full_method_v1/dp_knapsack_01_002/packet.json,benchmark/v0.3/annotation/review_packets/full_method_v1/dp_knapsack_01_002/lean_diagnostics.json
hp_dp_knapsack_01_005__naive_concat_v1,dp_knapsack_01_005,naive_concat_v1,0.833300,89,direct_adjudicated,dp_knapsack_01_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:c8438db014072e61f478b3456a0d519d77b28994af34a3182f430feeaca4567a,sha256:210c3dc0f6ad4a7044798664c4c605cebc599646f8d7a49ff90a3dfa06819e3e,sha256:8a3fed8b7e882d92c9bee2fdd04d214ca3f6b264fb912e6a2729089ba990ce56,benchmark/v0.3/annotation/review_packets/naive_concat_v1/dp_knapsack_01_002/packet.json,benchmark/v0.3/annotation/review_packets/naive_concat_v1/dp_knapsack_01_002/lean_diagnostics.json
hp_dp_knapsack_01_005__text_only_v1,dp_knapsack_01_005,text_only_v1,0.833300,90,direct_adjudicated,dp_knapsack_01_002,routine_eval_obligation_hygiene,true,false,,false,not_selected,no_repair_triggered,sha256:9f399d434d047cbb53ed47bc717a308305445ffb742b673d8cf925216b90a18a,sha256:210c3dc0f6ad4a7044798664c4c605cebc599646f8d7a49ff90a3dfa06819e3e,sha256:aab6720dc3fbc82fbf39765951f9f9daf7f5ceae4960c8edbbe0d3d78c24ff22,benchmark/v0.3/annotation/review_packets/text_only_v1/dp_knapsack_01_002/packet.json,benchmark/v0.3/annotation/review_packets/text_only_v1/dp_knapsack_01_002/lean_diagnostics.json
