candidate_failure_id,selected_for_repair,selection_reason,repair_attempted,repair_outcome,human_minutes,reference_obligations_used,notes
hp_arrays_max_subarray_007__naive_concat_v1,false,higher_priority_hotspot_absorbed_repair_budget,false,not_selected,0,no,low_semantic_faithfulness;missing_critical_semantic_unit
hp_arrays_max_subarray_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_dp_knapsack_01_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_004__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_006__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_knapsack_01_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_longest_common_subsequence_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_longest_common_subsequence_004__full_method_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,partial_success_documented,35,yes,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit
hp_dp_longest_common_subsequence_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_dp_longest_common_subsequence_004__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_dp_longest_common_subsequence_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_longest_common_subsequence_005__full_method_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,partial_success_documented,35,yes,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit
hp_dp_longest_common_subsequence_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_dp_longest_common_subsequence_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_dp_longest_common_subsequence_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_longest_common_subsequence_006__full_method_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,partial_success_documented,35,yes,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit
hp_dp_longest_common_subsequence_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_dp_longest_common_subsequence_006__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_dp_longest_common_subsequence_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_dp_longest_common_subsequence_007__full_method_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,partial_success_documented,35,yes,low_semantic_faithfulness;contradiction_signal;missing_critical_semantic_unit
hp_dp_longest_common_subsequence_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_dp_longest_common_subsequence_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_graph_bfs_shortest_path_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_004__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_graph_bfs_shortest_path_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_graph_bfs_shortest_path_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_graph_bfs_shortest_path_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_006__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_graph_bfs_shortest_path_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_bfs_shortest_path_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_graph_bfs_shortest_path_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_graph_dijkstra_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_004__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_006__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_graph_dijkstra_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_004__naive_concat_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,repaired_scaffold_alignment,35,yes,low_semantic_faithfulness;missing_critical_semantic_unit
hp_greedy_coin_change_canonical_004__text_only_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,repaired_scaffold_alignment,35,yes,low_semantic_faithfulness;missing_critical_semantic_unit
hp_greedy_coin_change_canonical_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_greedy_coin_change_canonical_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_006__naive_concat_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,repaired_scaffold_alignment,35,yes,low_semantic_faithfulness;missing_critical_semantic_unit
hp_greedy_coin_change_canonical_006__text_only_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,repaired_scaffold_alignment,35,yes,low_semantic_faithfulness;missing_critical_semantic_unit
hp_greedy_coin_change_canonical_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_coin_change_canonical_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_greedy_interval_scheduling_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_greedy_interval_scheduling_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_interval_scheduling_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_interval_scheduling_004__text_only_v1,false,higher_priority_hotspot_absorbed_repair_budget,false,not_selected,0,no,low_semantic_faithfulness;missing_critical_semantic_unit
hp_greedy_interval_scheduling_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_greedy_interval_scheduling_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_interval_scheduling_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_greedy_interval_scheduling_005__text_only_v1,false,higher_priority_hotspot_absorbed_repair_budget,false,not_selected,0,no,low_semantic_faithfulness;missing_critical_semantic_unit
hp_greedy_interval_scheduling_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_greedy_interval_scheduling_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_interval_scheduling_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_interval_scheduling_006__text_only_v1,false,higher_priority_hotspot_absorbed_repair_budget,false,not_selected,0,no,low_semantic_faithfulness;missing_critical_semantic_unit
hp_greedy_interval_scheduling_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_greedy_interval_scheduling_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_greedy_interval_scheduling_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_greedy_interval_scheduling_007__text_only_v1,false,higher_priority_hotspot_absorbed_repair_budget,false,not_selected,0,no,low_semantic_faithfulness;missing_critical_semantic_unit
hp_sorting_insertion_sort_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_insertion_sort_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_insertion_sort_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_insertion_sort_004__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_insertion_sort_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_insertion_sort_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_insertion_sort_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_insertion_sort_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_insertion_sort_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_insertion_sort_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_insertion_sort_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_insertion_sort_006__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_insertion_sort_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_insertion_sort_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_insertion_sort_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_insertion_sort_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_merge_sort_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_004__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_merge_sort_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_merge_sort_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_merge_sort_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_006__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_merge_sort_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_sorting_merge_sort_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_sorting_merge_sort_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_bst_insert_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_004__text_only_v1,false,higher_priority_hotspot_absorbed_repair_budget,false,not_selected,0,no,low_semantic_faithfulness;missing_critical_semantic_unit
hp_trees_bst_insert_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_bst_insert_005__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_bst_insert_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_006__text_only_v1,false,higher_priority_hotspot_absorbed_repair_budget,false,not_selected,0,no,low_semantic_faithfulness;missing_critical_semantic_unit
hp_trees_bst_insert_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_bst_insert_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_bst_insert_007__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_004__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_lowest_common_ancestor_004__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_004__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_004__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_005__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_lowest_common_ancestor_005__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_005__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_005__text_only_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,repaired_scaffold_alignment,35,yes,low_semantic_faithfulness;missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_006__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_lowest_common_ancestor_006__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_006__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_006__text_only_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_007__code_only_v1,false,no_repair_triggered,false,not_selected,0,no,routine_eval_obligation_hygiene
hp_trees_lowest_common_ancestor_007__full_method_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_007__naive_concat_v1,false,no_repair_triggered,false,not_selected,0,no,missing_critical_semantic_unit
hp_trees_lowest_common_ancestor_007__text_only_v1,true,priority_queue_by_lowest_adjudicated_faithfulness_within_eval_grid,true,repaired_scaffold_alignment,35,yes,low_semantic_faithfulness;missing_critical_semantic_unit
