anonymized_packet_key,semantic_faithfulness,code_consistency,proof_utility,vacuity_label,coverage_label,covered_units,partial_units,missing_units,contradiction_signal,notes
hs_001,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=arrays_binary_search_001; anchor=371
hs_061,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_004; anchor=553
hs_062,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_005; anchor=174
hs_063,2,3,2,non_vacuous,partial,SU1|SU2|SU3,,SU4,0,independent strict second pass; source_template=dp_knapsack_01_005; anchor=185
hs_064,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_005; anchor=132
hs_065,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_005; anchor=318
hs_066,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_006; anchor=439
hs_067,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_006; anchor=572
hs_068,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_006; anchor=881
hs_069,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_007; anchor=552
hs_070,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_007; anchor=723
hs_071,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_007; anchor=372
hs_072,2,3,2,vacuous,full,SU1|SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_knapsack_01_007; anchor=191
hs_073,2,3,1,vacuous,partial,SU2|SU3,,SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_001; anchor=61
hs_074,1,3,1,non_vacuous,full,SU2|SU3|SU4,,,1,independent strict second pass; source_template=dp_longest_common_subsequence_001; anchor=345
hs_075,2,3,0,non_vacuous,failed,,,SU2|SU3|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_001; anchor=893
hs_076,2,3,1,non_vacuous,failed,,,SU2|SU3|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_001; anchor=346
hs_077,3,3,2,non_vacuous,full,SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_longest_common_subsequence_002; anchor=261
hs_078,1,2,1,non_vacuous,full,SU2|SU3|SU4,,,1,independent strict second pass; source_template=dp_longest_common_subsequence_002; anchor=779
hs_079,2,3,1,non_vacuous,failed,,,SU2|SU3|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_002; anchor=389
hs_080,2,3,1,non_vacuous,failed,,,SU2|SU3|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_002; anchor=737
hs_081,2,2,1,non_vacuous,full,SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_longest_common_subsequence_003; anchor=387
hs_082,1,2,1,non_vacuous,full,SU2|SU3|SU4,,,1,independent strict second pass; source_template=dp_longest_common_subsequence_003; anchor=351
hs_083,2,3,1,non_vacuous,failed,,,SU2|SU3|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_003; anchor=846
hs_084,2,3,1,non_vacuous,failed,,,SU2|SU3|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_003; anchor=776
hs_085,2,3,1,non_vacuous,full,SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_longest_common_subsequence_004; anchor=558
hs_086,1,2,1,non_vacuous,full,SU2|SU3|SU4,,,1,independent strict second pass; source_template=dp_longest_common_subsequence_004; anchor=799
hs_087,2,3,1,non_vacuous,partial,,SU2|SU4,SU3,0,independent strict second pass; source_template=dp_longest_common_subsequence_004; anchor=940
hs_088,2,3,1,non_vacuous,partial,,SU3,SU2|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_004; anchor=353
hs_089,2,3,1,non_vacuous,partial,,SU4,SU2|SU3,0,independent strict second pass; source_template=dp_longest_common_subsequence_005; anchor=230
hs_090,2,3,1,non_vacuous,partial,,SU3,SU2|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_005; anchor=234
hs_091,2,3,1,non_vacuous,full,SU2|SU3|SU4,,,0,independent strict second pass; source_template=dp_longest_common_subsequence_006; anchor=89
hs_092,2,3,1,non_vacuous,partial,,SU2|SU4,SU3,0,independent strict second pass; source_template=dp_longest_common_subsequence_006; anchor=169
hs_093,2,3,1,non_vacuous,partial,,SU3,SU2|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_006; anchor=577
hs_094,2,3,1,non_vacuous,partial,,SU4,SU2|SU3,0,independent strict second pass; source_template=dp_longest_common_subsequence_007; anchor=544
hs_095,2,3,1,non_vacuous,partial,,SU3,SU2|SU4,0,independent strict second pass; source_template=dp_longest_common_subsequence_007; anchor=751
hs_096,3,3,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_001; anchor=546
hs_097,3,3,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_001; anchor=140
hs_098,3,3,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_001; anchor=5
hs_099,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_001; anchor=895
hs_100,3,3,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_002; anchor=292
hs_101,3,3,2,non_vacuous,partial,SU1|SU2|SU3|SU4,,SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_002; anchor=448
hs_102,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_002; anchor=101
hs_103,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_002; anchor=891
hs_104,3,3,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_003; anchor=580
hs_105,3,3,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_003; anchor=618
hs_106,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_003; anchor=271
hs_107,2,3,2,vacuous,failed,,,SU1|SU2|SU3|SU4|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_003; anchor=798
hs_108,3,3,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_004; anchor=556
hs_109,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_004; anchor=841
hs_110,3,3,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_004; anchor=555
hs_111,2,3,2,non_vacuous,partial,,SU3,SU1|SU2|SU4|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_004; anchor=169
hs_112,3,3,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_005; anchor=94
hs_113,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,independent strict second pass; source_template=graph_bfs_shortest_path_005; anchor=340
hs_114,2,3,1,non_vacuous,partial,,SU3|SU4,SU1|SU2|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_005; anchor=760
hs_115,2,3,1,non_vacuous,partial,,SU3,SU1|SU2|SU4|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_005; anchor=765
hs_116,2,3,1,non_vacuous,partial,,SU3,SU1|SU2|SU4|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_006; anchor=230
hs_117,2,3,1,non_vacuous,partial,,SU3|SU4,SU1|SU2|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_007; anchor=318
hs_118,2,3,1,non_vacuous,partial,,SU3,SU1|SU2|SU4|SU5,0,independent strict second pass; source_template=graph_bfs_shortest_path_007; anchor=24
hs_119,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_001; anchor=566
hs_120,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_001; anchor=55
hs_121,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_001; anchor=743
hs_122,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_001; anchor=701
hs_123,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_002; anchor=124
hs_124,3,3,3,non_vacuous,partial,SU1|SU2|SU3|SU4|SU5,,SU6,0,independent strict second pass; source_template=graph_dijkstra_002; anchor=581
hs_125,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_002; anchor=467
hs_126,3,3,2,non_vacuous,partial,SU1|SU2|SU3|SU4|SU5,,SU6,0,independent strict second pass; source_template=graph_dijkstra_002; anchor=392
hs_127,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_003; anchor=690
hs_128,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_003; anchor=12
hs_129,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_003; anchor=661
hs_130,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_003; anchor=428
hs_131,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_004; anchor=657
hs_132,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_004; anchor=509
hs_133,3,3,3,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_004; anchor=901
hs_134,2,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_004; anchor=424
hs_135,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_005; anchor=341
hs_136,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_005; anchor=592
hs_137,3,3,1,non_vacuous,partial,SU1|SU2|SU3|SU4|SU5,,SU6,0,independent strict second pass; source_template=graph_dijkstra_005; anchor=215
hs_138,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_005; anchor=550
hs_139,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_006; anchor=457
hs_140,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_006; anchor=777
hs_141,3,3,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,independent strict second pass; source_template=graph_dijkstra_007; anchor=71
hs_142,1,3,1,non_vacuous,full,SU1|SU3|SU4,,,0,independent strict second pass; source_template=greedy_coin_change_canonical_001; anchor=915
hs_143,2,3,1,non_vacuous,partial,SU1|SU3,,SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_001; anchor=239
hs_144,2,2,2,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_001; anchor=290
hs_145,2,2,1,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_001; anchor=886
hs_146,2,3,2,non_vacuous,full,SU1|SU3|SU4,,,0,independent strict second pass; source_template=greedy_coin_change_canonical_002; anchor=906
hs_147,2,3,2,non_vacuous,full,SU1|SU3|SU4,,,0,independent strict second pass; source_template=greedy_coin_change_canonical_002; anchor=710
hs_148,2,3,1,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_002; anchor=160
hs_149,2,2,1,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_002; anchor=516
hs_150,2,3,1,non_vacuous,full,SU1|SU3|SU4,,,0,independent strict second pass; source_template=greedy_coin_change_canonical_003; anchor=170
hs_151,2,3,1,non_vacuous,full,SU1|SU3|SU4,,,0,independent strict second pass; source_template=greedy_coin_change_canonical_003; anchor=391
hs_152,2,2,1,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_003; anchor=585
hs_153,1,2,1,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_003; anchor=891
hs_154,1,3,1,non_vacuous,full,SU1|SU3|SU4,,,0,independent strict second pass; source_template=greedy_coin_change_canonical_004; anchor=465
hs_155,2,2,1,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_004; anchor=313
hs_156,2,2,1,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_004; anchor=218
hs_157,2,3,1,non_vacuous,full,SU1|SU3|SU4,,,0,independent strict second pass; source_template=greedy_coin_change_canonical_005; anchor=694
hs_158,2,3,2,non_vacuous,full,SU1|SU3|SU4,,,0,independent strict second pass; source_template=greedy_coin_change_canonical_005; anchor=782
hs_159,2,3,1,non_vacuous,partial,,SU1|SU3|SU4,,0,independent strict second pass; source_template=greedy_coin_change_canonical_005; anchor=530
hs_160,2,3,1,non_vacuous,partial,,SU1,SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_005; anchor=203
hs_161,2,2,1,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_006; anchor=302
hs_162,3,2,1,non_vacuous,failed,,,SU1|SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_006; anchor=516
hs_163,2,3,1,non_vacuous,partial,,SU1|SU3|SU4,,0,independent strict second pass; source_template=greedy_coin_change_canonical_007; anchor=968
hs_164,2,3,1,non_vacuous,partial,,SU1,SU3|SU4,0,independent strict second pass; source_template=greedy_coin_change_canonical_007; anchor=114
hs_165,2,3,1,non_vacuous,partial,SU2|SU3,,SU1,0,independent strict second pass; source_template=greedy_interval_scheduling_001; anchor=25
hs_166,2,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=greedy_interval_scheduling_001; anchor=366
hs_167,3,3,1,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=greedy_interval_scheduling_001; anchor=59
hs_168,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=greedy_interval_scheduling_001; anchor=127
hs_169,2,3,2,non_vacuous,partial,SU2|SU3,,SU1,0,independent strict second pass; source_template=greedy_interval_scheduling_002; anchor=243
hs_170,2,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=greedy_interval_scheduling_002; anchor=740
hs_171,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=greedy_interval_scheduling_002; anchor=631
hs_172,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=greedy_interval_scheduling_002; anchor=371
hs_173,2,3,1,non_vacuous,partial,SU2|SU3,,SU1,0,independent strict second pass; source_template=greedy_interval_scheduling_003; anchor=415
hs_174,2,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=greedy_interval_scheduling_003; anchor=229
hs_175,2,3,1,non_vacuous,partial,SU1|SU2,,SU3,0,independent strict second pass; source_template=greedy_interval_scheduling_003; anchor=170
hs_176,2,3,1,non_vacuous,failed,,,SU1|SU2|SU3,0,independent strict second pass; source_template=greedy_interval_scheduling_003; anchor=967
hs_177,2,3,1,non_vacuous,partial,SU2|SU3,,SU1,0,independent strict second pass; source_template=greedy_interval_scheduling_004; anchor=262
hs_178,2,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=greedy_interval_scheduling_004; anchor=836
hs_179,2,3,1,non_vacuous,partial,SU2|SU3,,SU1,0,independent strict second pass; source_template=greedy_interval_scheduling_005; anchor=982
hs_180,2,3,2,non_vacuous,full,SU1|SU2|SU3,,,0,independent strict second pass; source_template=greedy_interval_scheduling_005; anchor=867
hs_181,2,3,1,non_vacuous,partial,,SU1|SU3,SU2,0,independent strict second pass; source_template=greedy_interval_scheduling_005; anchor=659
hs_182,2,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=greedy_interval_scheduling_005; anchor=619
hs_183,2,3,1,non_vacuous,partial,SU2|SU3,,SU1,0,independent strict second pass; source_template=greedy_interval_scheduling_006; anchor=794
hs_184,2,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=greedy_interval_scheduling_006; anchor=190
hs_185,3,3,0,non_vacuous,partial,SU2|SU3,,SU1,0,independent strict second pass; source_template=greedy_interval_scheduling_007; anchor=841
hs_186,1,3,1,non_vacuous,partial,,SU1|SU3,SU2,0,independent strict second pass; source_template=greedy_interval_scheduling_007; anchor=181
hs_187,2,3,1,non_vacuous,partial,,SU3,SU1|SU2,0,independent strict second pass; source_template=greedy_interval_scheduling_007; anchor=99
hs_188,2,3,1,non_vacuous,full,SU1|SU2,,,0,independent strict second pass; source_template=sorting_insertion_sort_001; anchor=614
hs_189,2,3,2,non_vacuous,full,SU1|SU2,,,0,independent strict second pass; source_template=sorting_insertion_sort_001; anchor=738
hs_190,2,3,1,non_vacuous,failed,,,SU1|SU2,0,independent strict second pass; source_template=sorting_insertion_sort_001; anchor=110
hs_191,2,3,1,non_vacuous,full,SU1|SU2,,,0,independent strict second pass; source_template=sorting_insertion_sort_002; anchor=478
hs_192,2,3,2,non_vacuous,partial,SU1,,SU2,0,independent strict second pass; source_template=sorting_insertion_sort_002; anchor=782
hs_193,2,3,1,non_vacuous,failed,,,SU1|SU2,0,independent strict second pass; source_template=sorting_insertion_sort_002; anchor=33
hs_194,3,3,1,non_vacuous,failed,,,SU1|SU2,0,independent strict second pass; source_template=sorting_insertion_sort_002; anchor=556
hs_195,2,3,1,non_vacuous,full,SU1|SU2,,,0,independent strict second pass; source_template=sorting_insertion_sort_003; anchor=36
hs_196,2,3,2,non_vacuous,full,SU1|SU2,,,0,independent strict second pass; source_template=sorting_insertion_sort_003; anchor=422
hs_197,2,3,1,non_vacuous,failed,,,SU1|SU2,0,independent strict second pass; source_template=sorting_insertion_sort_003; anchor=634
