anonymized_packet_key,instance_id,system_id,priority_score,priority_low_semantic_faithfulness,priority_missing_critical_unit,priority_contradiction_signal,priority_vacuous,priority_in_semantic_corrections_v3,priority_family
hs_025,arrays_max_subarray_001,naive_concat_v1,2,true,true,false,false,false,false
hs_026,arrays_max_subarray_001,text_only_v1,2,true,true,false,false,false,false
hs_029,arrays_max_subarray_002,naive_concat_v1,2,true,true,false,false,false,false
hs_033,arrays_max_subarray_003,naive_concat_v1,2,true,true,false,false,false,false
hs_034,arrays_max_subarray_003,text_only_v1,2,true,true,false,false,false,false
hs_036,arrays_max_subarray_004,naive_concat_v1,2,true,true,false,false,false,false
hs_037,arrays_max_subarray_004,text_only_v1,2,true,true,false,false,false,false
hs_039,arrays_max_subarray_005,naive_concat_v1,2,true,true,false,false,false,false
hs_042,arrays_max_subarray_006,naive_concat_v1,2,true,true,false,false,false,false
hs_043,arrays_max_subarray_006,text_only_v1,2,true,true,false,false,false,false
hs_044,arrays_max_subarray_007,naive_concat_v1,2,true,true,false,false,false,false
hs_073,dp_longest_common_subsequence_001,code_only_v1,2,true,false,false,false,false,true
hs_081,dp_longest_common_subsequence_003,code_only_v1,2,true,false,false,false,false,true
hs_085,dp_longest_common_subsequence_004,code_only_v1,2,true,false,false,false,false,true
hs_091,dp_longest_common_subsequence_006,code_only_v1,2,true,false,false,false,false,true
hs_142,greedy_coin_change_canonical_001,code_only_v1,2,true,false,false,false,false,true
hs_143,greedy_coin_change_canonical_001,full_method_v1,2,true,false,false,false,false,true
hs_146,greedy_coin_change_canonical_002,code_only_v1,2,true,false,false,false,false,true
hs_147,greedy_coin_change_canonical_002,full_method_v1,2,true,false,false,false,false,true
hs_150,greedy_coin_change_canonical_003,code_only_v1,2,true,false,false,false,false,true
hs_151,greedy_coin_change_canonical_003,full_method_v1,2,true,false,false,false,false,true
hs_154,greedy_coin_change_canonical_004,code_only_v1,2,true,false,false,false,false,true
hs_157,greedy_coin_change_canonical_005,code_only_v1,2,true,false,false,false,false,true
hs_158,greedy_coin_change_canonical_005,full_method_v1,2,true,false,false,false,false,true
hs_159,greedy_coin_change_canonical_005,naive_concat_v1,2,true,false,false,false,false,true
hs_163,greedy_coin_change_canonical_007,naive_concat_v1,2,true,false,false,false,false,true
hs_165,greedy_interval_scheduling_001,code_only_v1,2,true,true,false,false,false,false
hs_168,greedy_interval_scheduling_001,text_only_v1,2,true,true,false,false,false,false
hs_169,greedy_interval_scheduling_002,code_only_v1,2,true,true,false,false,false,false
hs_171,greedy_interval_scheduling_002,naive_concat_v1,2,true,true,false,false,false,false
hs_172,greedy_interval_scheduling_002,text_only_v1,2,true,true,false,false,false,false
hs_173,greedy_interval_scheduling_003,code_only_v1,2,true,true,false,false,false,false
hs_176,greedy_interval_scheduling_003,text_only_v1,2,true,true,false,false,false,false
hs_177,greedy_interval_scheduling_004,code_only_v1,2,true,true,false,false,false,false
hs_178,greedy_interval_scheduling_004,text_only_v1,2,true,true,false,false,false,false
hs_179,greedy_interval_scheduling_005,code_only_v1,2,true,true,false,false,false,false
hs_181,greedy_interval_scheduling_005,naive_concat_v1,2,true,true,false,false,false,false
hs_182,greedy_interval_scheduling_005,text_only_v1,2,true,true,false,false,false,false
hs_183,greedy_interval_scheduling_006,code_only_v1,2,true,true,false,false,false,false
hs_184,greedy_interval_scheduling_006,text_only_v1,2,true,true,false,false,false,false
hs_185,greedy_interval_scheduling_007,code_only_v1,2,true,true,false,false,false,false
hs_186,greedy_interval_scheduling_007,naive_concat_v1,2,true,true,false,false,false,false
hs_187,greedy_interval_scheduling_007,text_only_v1,2,true,true,false,false,false,false
hs_190,sorting_insertion_sort_001,naive_concat_v1,2,true,true,false,false,false,false
hs_193,sorting_insertion_sort_002,naive_concat_v1,2,true,true,false,false,false,false
hs_197,sorting_insertion_sort_003,naive_concat_v1,2,true,true,false,false,false,false
hs_201,sorting_insertion_sort_004,naive_concat_v1,2,true,true,false,false,false,false
hs_203,sorting_insertion_sort_005,naive_concat_v1,2,true,true,false,false,false,false
hs_205,sorting_insertion_sort_006,naive_concat_v1,2,true,true,false,false,false,false
hs_207,sorting_insertion_sort_007,naive_concat_v1,2,true,true,false,false,false,false
hs_212,sorting_merge_sort_001,text_only_v1,2,false,true,false,false,false,true
hs_215,sorting_merge_sort_002,naive_concat_v1,2,false,true,false,false,false,true
hs_220,sorting_merge_sort_003,text_only_v1,2,false,true,false,false,false,true
hs_224,sorting_merge_sort_004,text_only_v1,2,false,true,false,false,false,true
hs_226,sorting_merge_sort_005,naive_concat_v1,2,false,true,false,false,false,true
hs_228,sorting_merge_sort_006,text_only_v1,2,false,true,false,false,false,true
hs_229,sorting_merge_sort_007,naive_concat_v1,2,false,true,false,false,false,true
hs_234,trees_bst_insert_001,text_only_v1,2,true,true,false,false,false,false
hs_237,trees_bst_insert_002,naive_concat_v1,2,true,true,false,false,false,false
hs_238,trees_bst_insert_002,text_only_v1,2,true,true,false,false,false,false
hs_242,trees_bst_insert_003,text_only_v1,2,true,true,false,false,false,false
hs_245,trees_bst_insert_004,text_only_v1,2,true,true,false,false,false,false
hs_247,trees_bst_insert_005,naive_concat_v1,2,true,true,false,false,false,false
hs_248,trees_bst_insert_005,text_only_v1,2,true,true,false,false,false,false
hs_250,trees_bst_insert_006,text_only_v1,2,true,true,false,false,false,false
hs_251,trees_bst_insert_007,naive_concat_v1,2,true,true,false,false,false,false
hs_252,trees_bst_insert_007,text_only_v1,2,true,true,false,false,false,false
hs_253,trees_lowest_common_ancestor_001,code_only_v1,2,true,false,false,false,false,true
hs_257,trees_lowest_common_ancestor_002,code_only_v1,2,true,false,false,false,false,true
hs_261,trees_lowest_common_ancestor_003,code_only_v1,2,true,false,false,false,false,true
hs_262,trees_lowest_common_ancestor_003,full_method_v1,2,true,false,false,false,false,true
hs_265,trees_lowest_common_ancestor_004,code_only_v1,2,true,false,false,false,false,true
hs_266,trees_lowest_common_ancestor_004,full_method_v1,2,true,false,false,false,false,true
hs_001,arrays_binary_search_001,code_only_v1,1,false,false,false,false,false,true
hs_004,arrays_binary_search_002,code_only_v1,1,false,false,false,false,false,true
hs_005,arrays_binary_search_002,full_method_v1,1,false,false,false,false,false,true
hs_006,arrays_binary_search_002,naive_concat_v1,1,false,false,false,false,false,true
hs_008,arrays_binary_search_003,code_only_v1,1,false,false,false,false,false,true
hs_012,arrays_binary_search_004,code_only_v1,1,false,false,false,false,false,true
hs_014,arrays_binary_search_004,naive_concat_v1,1,false,false,false,false,false,true
hs_015,arrays_binary_search_004,text_only_v1,1,false,false,false,false,false,true
hs_016,arrays_binary_search_005,full_method_v1,1,false,false,false,false,false,true
hs_017,arrays_binary_search_005,text_only_v1,1,false,false,false,false,false,true
hs_019,arrays_binary_search_006,naive_concat_v1,1,false,false,false,false,false,true
hs_020,arrays_binary_search_006,text_only_v1,1,false,false,false,false,false,true
hs_021,arrays_binary_search_007,full_method_v1,1,false,false,false,false,false,true
hs_022,arrays_binary_search_007,text_only_v1,1,false,false,false,false,false,true
hs_030,arrays_max_subarray_002,text_only_v1,1,false,true,false,false,false,false
hs_040,arrays_max_subarray_005,text_only_v1,1,false,true,false,false,false,false
hs_045,arrays_max_subarray_007,text_only_v1,1,false,true,false,false,false,false
hs_046,dp_knapsack_01_001,code_only_v1,1,true,false,false,false,false,false
hs_047,dp_knapsack_01_001,full_method_v1,1,true,false,false,false,false,false
hs_048,dp_knapsack_01_001,naive_concat_v1,1,true,false,false,false,false,false
hs_049,dp_knapsack_01_001,text_only_v1,1,true,false,false,false,false,false
hs_050,dp_knapsack_01_002,code_only_v1,1,true,false,false,false,false,false
hs_051,dp_knapsack_01_002,full_method_v1,1,true,false,false,false,false,false
hs_052,dp_knapsack_01_002,naive_concat_v1,1,true,false,false,false,false,false
hs_053,dp_knapsack_01_002,text_only_v1,1,true,false,false,false,false,false
hs_054,dp_knapsack_01_003,code_only_v1,1,true,false,false,false,false,false
hs_055,dp_knapsack_01_003,full_method_v1,1,true,false,false,false,false,false
hs_056,dp_knapsack_01_003,naive_concat_v1,1,true,false,false,false,false,false
hs_057,dp_knapsack_01_003,text_only_v1,1,true,false,false,false,false,false
hs_058,dp_knapsack_01_004,code_only_v1,1,true,false,false,false,false,false
hs_059,dp_knapsack_01_004,full_method_v1,1,true,false,false,false,false,false
hs_060,dp_knapsack_01_004,naive_concat_v1,1,true,false,false,false,false,false
hs_061,dp_knapsack_01_004,text_only_v1,1,true,false,false,false,false,false
hs_062,dp_knapsack_01_005,code_only_v1,1,true,false,false,false,false,false
hs_063,dp_knapsack_01_005,full_method_v1,1,true,false,false,false,false,false
hs_064,dp_knapsack_01_005,naive_concat_v1,1,true,false,false,false,false,false
hs_065,dp_knapsack_01_005,text_only_v1,1,true,false,false,false,false,false
hs_066,dp_knapsack_01_006,code_only_v1,1,true,false,false,false,false,false
hs_067,dp_knapsack_01_006,naive_concat_v1,1,true,false,false,false,false,false
hs_068,dp_knapsack_01_006,text_only_v1,1,true,false,false,false,false,false
hs_069,dp_knapsack_01_007,code_only_v1,1,true,false,false,false,false,false
hs_070,dp_knapsack_01_007,full_method_v1,1,true,false,false,false,false,false
hs_071,dp_knapsack_01_007,naive_concat_v1,1,true,false,false,false,false,false
hs_072,dp_knapsack_01_007,text_only_v1,1,true,false,false,false,false,false
hs_077,dp_longest_common_subsequence_002,code_only_v1,1,false,false,false,false,false,true
hs_096,graph_bfs_shortest_path_001,code_only_v1,1,false,false,false,false,false,true
hs_097,graph_bfs_shortest_path_001,full_method_v1,1,false,false,false,false,false,true
hs_098,graph_bfs_shortest_path_001,naive_concat_v1,1,false,false,false,false,false,true
hs_100,graph_bfs_shortest_path_002,code_only_v1,1,false,false,false,false,false,true
hs_101,graph_bfs_shortest_path_002,full_method_v1,1,false,false,false,false,false,true
hs_104,graph_bfs_shortest_path_003,code_only_v1,1,false,false,false,false,false,true
hs_105,graph_bfs_shortest_path_003,full_method_v1,1,false,false,false,false,false,true
hs_106,graph_bfs_shortest_path_003,naive_concat_v1,1,false,false,false,false,false,true
hs_108,graph_bfs_shortest_path_004,code_only_v1,1,false,false,false,false,false,true
hs_109,graph_bfs_shortest_path_004,full_method_v1,1,false,false,false,false,false,true
hs_110,graph_bfs_shortest_path_004,naive_concat_v1,1,false,false,false,false,false,true
hs_112,graph_bfs_shortest_path_005,code_only_v1,1,false,false,false,false,false,true
hs_113,graph_bfs_shortest_path_005,full_method_v1,1,false,false,false,false,false,true
hs_119,graph_dijkstra_001,code_only_v1,1,false,false,false,false,false,true
hs_120,graph_dijkstra_001,full_method_v1,1,false,false,false,false,false,true
hs_121,graph_dijkstra_001,naive_concat_v1,1,false,false,false,false,false,true
hs_122,graph_dijkstra_001,text_only_v1,1,false,false,false,false,false,true
hs_123,graph_dijkstra_002,code_only_v1,1,false,false,false,false,false,true
hs_124,graph_dijkstra_002,full_method_v1,1,false,false,false,false,false,true
hs_125,graph_dijkstra_002,naive_concat_v1,1,false,false,false,false,false,true
hs_126,graph_dijkstra_002,text_only_v1,1,false,false,false,false,false,true
hs_127,graph_dijkstra_003,code_only_v1,1,false,false,false,false,false,true
hs_128,graph_dijkstra_003,full_method_v1,1,false,false,false,false,false,true
hs_129,graph_dijkstra_003,naive_concat_v1,1,false,false,false,false,false,true
hs_130,graph_dijkstra_003,text_only_v1,1,false,false,false,false,false,true
hs_131,graph_dijkstra_004,code_only_v1,1,false,false,false,false,false,true
hs_132,graph_dijkstra_004,full_method_v1,1,false,false,false,false,false,true
hs_133,graph_dijkstra_004,naive_concat_v1,1,false,false,false,false,false,true
hs_134,graph_dijkstra_004,text_only_v1,1,false,false,false,false,false,true
hs_135,graph_dijkstra_005,code_only_v1,1,false,false,false,false,false,true
hs_136,graph_dijkstra_005,full_method_v1,1,false,false,false,false,false,true
hs_137,graph_dijkstra_005,naive_concat_v1,1,false,false,false,false,false,true
hs_138,graph_dijkstra_005,text_only_v1,1,false,false,false,false,false,true
hs_139,graph_dijkstra_006,code_only_v1,1,false,false,false,false,false,true
hs_140,graph_dijkstra_006,text_only_v1,1,false,false,false,false,false,true
hs_141,graph_dijkstra_007,code_only_v1,1,false,false,false,false,false,true
hs_166,greedy_interval_scheduling_001,full_method_v1,1,true,false,false,false,false,false
hs_170,greedy_interval_scheduling_002,full_method_v1,1,true,false,false,false,false,false
hs_174,greedy_interval_scheduling_003,full_method_v1,1,true,false,false,false,false,false
hs_180,greedy_interval_scheduling_005,full_method_v1,1,true,false,false,false,false,false
hs_188,sorting_insertion_sort_001,code_only_v1,1,true,false,false,false,false,false
hs_189,sorting_insertion_sort_001,full_method_v1,1,true,false,false,false,false,false
hs_191,sorting_insertion_sort_002,code_only_v1,1,true,false,false,false,false,false
hs_192,sorting_insertion_sort_002,full_method_v1,1,true,false,false,false,false,false
hs_194,sorting_insertion_sort_002,text_only_v1,1,false,true,false,false,false,false
hs_195,sorting_insertion_sort_003,code_only_v1,1,true,false,false,false,false,false
hs_196,sorting_insertion_sort_003,full_method_v1,1,true,false,false,false,false,false
hs_198,sorting_insertion_sort_003,text_only_v1,1,false,true,false,false,false,false
hs_199,sorting_insertion_sort_004,code_only_v1,1,true,false,false,false,false,false
hs_200,sorting_insertion_sort_004,full_method_v1,1,true,false,false,false,false,false
hs_202,sorting_insertion_sort_004,text_only_v1,1,false,true,false,false,false,false
hs_204,sorting_insertion_sort_005,text_only_v1,1,false,true,false,false,false,false
hs_206,sorting_insertion_sort_006,text_only_v1,1,false,true,false,false,false,false
hs_208,sorting_insertion_sort_007,text_only_v1,1,false,true,false,false,false,false
hs_209,sorting_merge_sort_001,code_only_v1,1,false,false,false,false,false,true
hs_210,sorting_merge_sort_001,full_method_v1,1,false,false,false,false,false,true
hs_211,sorting_merge_sort_001,naive_concat_v1,1,false,false,false,false,false,true
hs_213,sorting_merge_sort_002,code_only_v1,1,false,false,false,false,false,true
hs_214,sorting_merge_sort_002,full_method_v1,1,false,false,false,false,false,true
hs_217,sorting_merge_sort_003,code_only_v1,1,false,false,false,false,false,true
hs_218,sorting_merge_sort_003,full_method_v1,1,false,false,false,false,false,true
hs_219,sorting_merge_sort_003,naive_concat_v1,1,false,false,false,false,false,true
hs_221,sorting_merge_sort_004,code_only_v1,1,false,false,false,false,false,true
hs_222,sorting_merge_sort_004,full_method_v1,1,false,false,false,false,false,true
hs_223,sorting_merge_sort_004,naive_concat_v1,1,false,false,false,false,false,true
hs_225,sorting_merge_sort_005,code_only_v1,1,false,false,false,false,false,true
hs_023,arrays_max_subarray_001,code_only_v1,0,false,false,false,false,false,false
hs_024,arrays_max_subarray_001,full_method_v1,0,false,false,false,false,false,false
hs_027,arrays_max_subarray_002,code_only_v1,0,false,false,false,false,false,false
hs_028,arrays_max_subarray_002,full_method_v1,0,false,false,false,false,false,false
hs_031,arrays_max_subarray_003,code_only_v1,0,false,false,false,false,false,false
hs_032,arrays_max_subarray_003,full_method_v1,0,false,false,false,false,false,false
hs_035,arrays_max_subarray_004,full_method_v1,0,false,false,false,false,false,false
hs_038,arrays_max_subarray_005,full_method_v1,0,false,false,false,false,false,false
hs_041,arrays_max_subarray_006,full_method_v1,0,false,false,false,false,false,false
hs_167,greedy_interval_scheduling_001,naive_concat_v1,0,false,false,false,false,false,false
hs_175,greedy_interval_scheduling_003,naive_concat_v1,0,false,false,false,false,false,false
hs_231,trees_bst_insert_001,code_only_v1,0,false,false,false,false,false,false
hs_232,trees_bst_insert_001,full_method_v1,0,false,false,false,false,false,false
hs_233,trees_bst_insert_001,naive_concat_v1,0,false,false,false,false,false,false
hs_235,trees_bst_insert_002,code_only_v1,0,false,false,false,false,false,false
hs_236,trees_bst_insert_002,full_method_v1,0,false,false,false,false,false,false
hs_239,trees_bst_insert_003,code_only_v1,0,false,false,false,false,false,false
hs_240,trees_bst_insert_003,full_method_v1,0,false,false,false,false,false,false
hs_241,trees_bst_insert_003,naive_concat_v1,0,false,false,false,false,false,false
hs_243,trees_bst_insert_004,code_only_v1,0,false,false,false,false,false,false
hs_244,trees_bst_insert_004,naive_concat_v1,0,false,false,false,false,false,false
hs_246,trees_bst_insert_005,full_method_v1,0,false,false,false,false,false,false
hs_249,trees_bst_insert_006,naive_concat_v1,0,false,false,false,false,false,false
