anonymized_packet_key,instance_id,system_id,metric,rater_a,rater_b_human,adjudicated_resolution,resolution_reason,source_evidence,specific_obligation_index,semantic_unit_ids,reference_obligation_ids,adjudicator_id
hs_073,dp_longest_common_subsequence_001,code_only_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_074,dp_longest_common_subsequence_001,full_method_v1,code_consistency,2,3,2,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_075,dp_longest_common_subsequence_001,naive_concat_v1,proof_utility,1,0,0,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1,obl_001,adjudicator_v3
hs_077,dp_longest_common_subsequence_002,code_only_v1,proof_utility,1,2,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_081,dp_longest_common_subsequence_003,code_only_v1,code_consistency,3,2,2,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_101,graph_bfs_shortest_path_002,full_method_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2|SU3|SU4|SU5,obl_001|obl_002|obl_003,adjudicator_v3
hs_106,graph_bfs_shortest_path_003,naive_concat_v1,proof_utility,1,2,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1|SU2|SU3|SU4|SU5,obl_001|obl_002|obl_003,adjudicator_v3
hs_107,graph_bfs_shortest_path_003,text_only_v1,proof_utility,1,2,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1,obl_001,adjudicator_v3
hs_107,graph_bfs_shortest_path_003,text_only_v1,vacuity_label,non_vacuous,vacuous,vacuous,At least one obligation is tautological/detached; adjudication retains vacuous flag.,generated_obligations text and vacuity rubric,0,SU1,obl_001,adjudicator_v3
hs_109,graph_bfs_shortest_path_004,full_method_v1,semantic_faithfulness,3,2,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3|SU4|SU5,obl_001|obl_002|obl_003,adjudicator_v3
hs_109,graph_bfs_shortest_path_004,full_method_v1,proof_utility,1,2,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1|SU2|SU3|SU4|SU5,obl_001|obl_002|obl_003,adjudicator_v3
hs_111,graph_bfs_shortest_path_004,text_only_v1,proof_utility,1,2,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU3,obl_001,adjudicator_v3
hs_113,graph_bfs_shortest_path_005,full_method_v1,semantic_faithfulness,3,2,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3|SU4|SU5,obl_001|obl_002|obl_003,adjudicator_v3
hs_119,graph_dijkstra_001,code_only_v1,semantic_faithfulness,3,2,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_124,graph_dijkstra_002,full_method_v1,proof_utility,2,3,2,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_124,graph_dijkstra_002,full_method_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_126,graph_dijkstra_002,text_only_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_128,graph_dijkstra_003,full_method_v1,semantic_faithfulness,3,2,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_131,graph_dijkstra_004,code_only_v1,semantic_faithfulness,3,2,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_133,graph_dijkstra_004,naive_concat_v1,proof_utility,2,3,2,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_134,graph_dijkstra_004,text_only_v1,semantic_faithfulness,3,2,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_137,graph_dijkstra_005,naive_concat_v1,proof_utility,2,1,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_137,graph_dijkstra_005,naive_concat_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2|SU3|SU4|SU5|SU6,obl_001|obl_002|obl_003,adjudicator_v3
hs_142,greedy_coin_change_canonical_001,code_only_v1,semantic_faithfulness,2,1,1,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_143,greedy_coin_change_canonical_001,full_method_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_144,greedy_coin_change_canonical_001,naive_concat_v1,proof_utility,1,2,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1,obl_001,adjudicator_v3
hs_146,greedy_coin_change_canonical_002,code_only_v1,proof_utility,1,2,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_149,greedy_coin_change_canonical_002,text_only_v1,code_consistency,3,2,2,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1,obl_001,adjudicator_v3
hs_153,greedy_coin_change_canonical_003,text_only_v1,semantic_faithfulness,2,1,1,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1,obl_001,adjudicator_v3
hs_154,greedy_coin_change_canonical_004,code_only_v1,semantic_faithfulness,2,1,1,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_162,greedy_coin_change_canonical_006,text_only_v1,semantic_faithfulness,2,3,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1,obl_001,adjudicator_v3
hs_169,greedy_interval_scheduling_002,code_only_v1,proof_utility,1,2,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU2|SU3,obl_001|obl_002,adjudicator_v3
hs_175,greedy_interval_scheduling_003,naive_concat_v1,semantic_faithfulness,3,2,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_175,greedy_interval_scheduling_003,naive_concat_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_185,greedy_interval_scheduling_007,code_only_v1,semantic_faithfulness,2,3,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU2|SU3,obl_001|obl_002,adjudicator_v3
hs_185,greedy_interval_scheduling_007,code_only_v1,proof_utility,1,0,0,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU2|SU3,obl_001|obl_002,adjudicator_v3
hs_186,greedy_interval_scheduling_007,naive_concat_v1,semantic_faithfulness,2,1,1,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU3,obl_001|obl_002,adjudicator_v3
hs_192,sorting_insertion_sort_002,full_method_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2,obl_001|obl_002,adjudicator_v3
hs_200,sorting_insertion_sort_004,full_method_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2,obl_001|obl_002,adjudicator_v3
hs_212,sorting_merge_sort_001,text_only_v1,proof_utility,1,0,0,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1,obl_001,adjudicator_v3
hs_235,trees_bst_insert_002,code_only_v1,coverage_label,full,partial,partial,Coverage derived from disjoint covered/partial/missing sets; unresolved missing unit prevents full label.,covered_units/partial_units/missing_units coherence checks,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_236,trees_bst_insert_002,full_method_v1,code_consistency,3,2,2,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_241,trees_bst_insert_003,naive_concat_v1,proof_utility,1,2,1,Ordinal disagreement resolved with conservative rubric interpretation tied to packet obligations.,packet obligations + semantic correction overlays,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_245,trees_bst_insert_004,text_only_v1,semantic_faithfulness,2,1,1,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU3,obl_001,adjudicator_v3
hs_249,trees_bst_insert_006,naive_concat_v1,semantic_faithfulness,3,2,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1|SU2|SU3,obl_001|obl_002|obl_003,adjudicator_v3
hs_254,trees_lowest_common_ancestor_001,full_method_v1,vacuity_label,non_vacuous,vacuous,vacuous,At least one obligation is tautological/detached; adjudication retains vacuous flag.,generated_obligations text and vacuity rubric,0,SU1|SU2|SU3|SU4,obl_001|obl_002|obl_003,adjudicator_v3
hs_255,trees_lowest_common_ancestor_001,naive_concat_v1,semantic_faithfulness,2,1,1,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1,obl_001,adjudicator_v3
hs_263,trees_lowest_common_ancestor_003,naive_concat_v1,semantic_faithfulness,2,3,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1,obl_001,adjudicator_v3
hs_267,trees_lowest_common_ancestor_004,naive_concat_v1,semantic_faithfulness,2,3,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU3|SU4,obl_001|obl_002,adjudicator_v3
hs_270,trees_lowest_common_ancestor_005,text_only_v1,semantic_faithfulness,2,3,2,Semantic-unit linkage differs across raters; adjudication keeps lower faithfulness where SU evidence is incomplete.,generated_obligations + linked_semantic_units + critical_semantic_units,0,SU1,obl_001,adjudicator_v3
