packet_id,dim,rater_a,rater_b,agree
ag_028,vacuity_label,non_vacuous,non_vacuous,1
ag_029,semantic_faithfulness,4,4,1
ag_029,code_consistency,4,4,1
ag_029,proof_utility,2,2,1
ag_029,coverage_label,partial,partial,1
ag_029,vacuity_label,non_vacuous,non_vacuous,1
ag_030,semantic_faithfulness,4,4,1
ag_030,code_consistency,4,4,1
ag_030,proof_utility,2,2,1
ag_030,coverage_label,full,full,1
ag_030,vacuity_label,non_vacuous,non_vacuous,1
ag_031,semantic_faithfulness,3,3,1
ag_031,code_consistency,4,4,1
ag_031,proof_utility,2,2,1
ag_031,coverage_label,partial,partial,1
ag_031,vacuity_label,non_vacuous,non_vacuous,1
ag_032,semantic_faithfulness,4,4,1
ag_032,code_consistency,4,4,1
ag_032,proof_utility,2,1,0
ag_032,coverage_label,full,full,1
ag_032,vacuity_label,non_vacuous,non_vacuous,1
ag_033,semantic_faithfulness,4,4,1
ag_033,code_consistency,4,4,1
ag_033,proof_utility,3,3,1
ag_033,coverage_label,full,full,1
ag_033,vacuity_label,non_vacuous,non_vacuous,1
ag_034,semantic_faithfulness,4,4,1
ag_034,code_consistency,4,4,1
ag_034,proof_utility,3,3,1
ag_034,coverage_label,full,full,1
ag_034,vacuity_label,non_vacuous,non_vacuous,1
ag_035,semantic_faithfulness,4,4,1
ag_035,code_consistency,4,4,1
ag_035,proof_utility,3,3,1
ag_035,coverage_label,full,full,1
ag_035,vacuity_label,non_vacuous,non_vacuous,1
ag_036,semantic_faithfulness,4,4,1
ag_036,code_consistency,4,4,1
ag_036,proof_utility,3,3,1
ag_036,coverage_label,full,full,1
ag_036,vacuity_label,non_vacuous,non_vacuous,1
ag_037,semantic_faithfulness,4,4,1
ag_037,code_consistency,4,4,1
ag_037,proof_utility,3,3,1
ag_037,coverage_label,full,full,1
ag_037,vacuity_label,non_vacuous,non_vacuous,1
ag_038,semantic_faithfulness,4,4,1
ag_038,code_consistency,4,4,1
ag_038,proof_utility,3,3,1
ag_038,coverage_label,full,full,1
ag_038,vacuity_label,non_vacuous,non_vacuous,1
ag_039,semantic_faithfulness,4,4,1
ag_039,code_consistency,4,4,1
ag_039,proof_utility,3,3,1
ag_039,coverage_label,full,full,1
ag_039,vacuity_label,non_vacuous,non_vacuous,1
ag_040,semantic_faithfulness,4,4,1
ag_040,code_consistency,4,4,1
ag_040,proof_utility,3,3,1
ag_040,coverage_label,full,full,1
ag_040,vacuity_label,non_vacuous,non_vacuous,1
ag_041,semantic_faithfulness,4,4,1
ag_041,code_consistency,4,4,1
ag_041,proof_utility,3,3,1
ag_041,coverage_label,full,full,1
ag_041,vacuity_label,non_vacuous,non_vacuous,1
ag_042,semantic_faithfulness,4,4,1
ag_042,code_consistency,4,4,1
ag_042,proof_utility,3,3,1
ag_042,coverage_label,full,full,1
ag_042,vacuity_label,non_vacuous,non_vacuous,1
ag_043,semantic_faithfulness,4,4,1
ag_043,code_consistency,4,4,1
ag_043,proof_utility,3,4,0
ag_043,coverage_label,full,full,1
ag_043,vacuity_label,non_vacuous,non_vacuous,1
ag_044,semantic_faithfulness,4,4,1
ag_044,code_consistency,4,4,1
ag_044,proof_utility,3,3,1
ag_044,coverage_label,full,full,1
ag_044,vacuity_label,non_vacuous,non_vacuous,1
ag_045,semantic_faithfulness,4,4,1
ag_045,code_consistency,4,4,1
ag_045,proof_utility,3,3,1
ag_045,coverage_label,full,full,1
ag_045,vacuity_label,non_vacuous,non_vacuous,1
ag_046,semantic_faithfulness,4,4,1
ag_046,code_consistency,4,4,1
ag_046,proof_utility,3,3,1
ag_046,coverage_label,full,full,1
ag_046,vacuity_label,non_vacuous,non_vacuous,1
ag_047,semantic_faithfulness,4,4,1
ag_047,code_consistency,4,4,1
ag_047,proof_utility,3,3,1
ag_047,coverage_label,full,full,1
ag_047,vacuity_label,non_vacuous,non_vacuous,1
ag_048,semantic_faithfulness,4,4,1
ag_048,code_consistency,4,4,1
ag_048,proof_utility,3,3,1
ag_048,coverage_label,full,full,1
ag_048,vacuity_label,non_vacuous,non_vacuous,1
ag_049,semantic_faithfulness,3,3,1
ag_049,code_consistency,4,4,1
ag_049,proof_utility,2,3,0
ag_049,coverage_label,partial,partial,1
ag_049,vacuity_label,non_vacuous,non_vacuous,1
ag_050,semantic_faithfulness,3,3,1
ag_050,code_consistency,4,4,1
ag_050,proof_utility,2,2,1
ag_050,coverage_label,full,full,1
ag_050,vacuity_label,non_vacuous,non_vacuous,1
ag_051,semantic_faithfulness,3,3,1
ag_051,code_consistency,4,3,0
ag_051,proof_utility,2,2,1
ag_051,coverage_label,partial,partial,1
ag_051,vacuity_label,non_vacuous,non_vacuous,1
ag_052,semantic_faithfulness,4,4,1
ag_052,code_consistency,4,4,1
ag_052,proof_utility,2,3,0
ag_052,coverage_label,full,full,1
ag_052,vacuity_label,non_vacuous,non_vacuous,1
ag_053,semantic_faithfulness,3,3,1
ag_053,code_consistency,4,4,1
ag_053,proof_utility,2,3,0
ag_053,coverage_label,partial,partial,1
ag_053,vacuity_label,non_vacuous,non_vacuous,1
ag_054,semantic_faithfulness,4,4,1
ag_054,code_consistency,4,4,1
ag_054,proof_utility,2,2,1
ag_054,coverage_label,full,full,1
ag_054,vacuity_label,non_vacuous,non_vacuous,1
ag_055,semantic_faithfulness,3,3,1
ag_055,code_consistency,4,4,1
ag_055,proof_utility,2,1,0
ag_055,coverage_label,partial,partial,1
ag_055,vacuity_label,non_vacuous,non_vacuous,1
ag_056,semantic_faithfulness,4,4,1
ag_056,code_consistency,4,4,1
ag_056,proof_utility,2,2,1
ag_056,coverage_label,full,full,1
ag_056,vacuity_label,non_vacuous,non_vacuous,1
ag_057,semantic_faithfulness,3,3,1
ag_057,code_consistency,4,4,1
ag_057,proof_utility,2,2,1
ag_057,coverage_label,partial,partial,1
ag_057,vacuity_label,non_vacuous,non_vacuous,1
ag_058,semantic_faithfulness,3,3,1
ag_058,code_consistency,4,4,1
ag_058,proof_utility,2,2,1
ag_058,coverage_label,full,full,1
ag_058,vacuity_label,non_vacuous,non_vacuous,1
ag_059,semantic_faithfulness,3,3,1
ag_059,code_consistency,4,4,1
ag_059,proof_utility,2,1,0
ag_059,coverage_label,partial,partial,1
ag_059,vacuity_label,non_vacuous,non_vacuous,1
ag_060,semantic_faithfulness,4,3,0
ag_060,code_consistency,4,4,1
ag_060,proof_utility,2,2,1
ag_060,coverage_label,full,full,1
ag_060,vacuity_label,non_vacuous,non_vacuous,1
ag_061,semantic_faithfulness,3,3,1
ag_061,code_consistency,4,4,1
ag_061,proof_utility,2,2,1
ag_061,coverage_label,partial,partial,1
ag_061,vacuity_label,non_vacuous,non_vacuous,1
ag_062,semantic_faithfulness,4,4,1
ag_062,code_consistency,4,4,1
ag_062,proof_utility,2,2,1
ag_062,coverage_label,full,full,1
ag_062,vacuity_label,non_vacuous,non_vacuous,1
ag_063,semantic_faithfulness,3,3,1
ag_063,code_consistency,4,4,1
ag_063,proof_utility,2,2,1
ag_063,coverage_label,partial,partial,1
ag_063,vacuity_label,non_vacuous,non_vacuous,1
ag_064,semantic_faithfulness,4,4,1
ag_064,code_consistency,4,4,1
ag_064,proof_utility,2,2,1
ag_064,coverage_label,full,partial,0
ag_064,vacuity_label,non_vacuous,non_vacuous,1
ag_065,semantic_faithfulness,3,3,1
ag_065,code_consistency,4,4,1
ag_065,proof_utility,2,2,1
ag_065,coverage_label,partial,partial,1
ag_065,vacuity_label,non_vacuous,non_vacuous,1
ag_066,semantic_faithfulness,4,3,0
ag_066,code_consistency,4,4,1
ag_066,proof_utility,2,2,1
ag_066,coverage_label,full,full,1
ag_066,vacuity_label,non_vacuous,vacuous,0
ag_067,semantic_faithfulness,4,4,1
ag_067,code_consistency,4,4,1
ag_067,proof_utility,2,2,1
ag_067,coverage_label,full,full,1
ag_067,vacuity_label,non_vacuous,non_vacuous,1
ag_068,semantic_faithfulness,4,4,1
ag_068,code_consistency,4,4,1
ag_068,proof_utility,2,2,1
ag_068,coverage_label,full,full,1
ag_068,vacuity_label,non_vacuous,non_vacuous,1
ag_069,semantic_faithfulness,3,3,1
ag_069,code_consistency,4,4,1
ag_069,proof_utility,2,3,0
ag_069,coverage_label,partial,partial,1
ag_069,vacuity_label,non_vacuous,non_vacuous,1
ag_070,semantic_faithfulness,4,4,1
ag_070,code_consistency,4,4,1
ag_070,proof_utility,2,2,1
ag_070,coverage_label,full,full,1
ag_070,vacuity_label,non_vacuous,non_vacuous,1
ag_071,semantic_faithfulness,3,3,1
ag_071,code_consistency,4,4,1
ag_071,proof_utility,2,2,1
ag_071,coverage_label,partial,partial,1
ag_071,vacuity_label,non_vacuous,non_vacuous,1
ag_072,semantic_faithfulness,4,4,1
ag_072,code_consistency,4,4,1
ag_072,proof_utility,4,4,1
ag_072,coverage_label,full,full,1
ag_072,vacuity_label,non_vacuous,non_vacuous,1
ag_073,semantic_faithfulness,3,4,0
ag_073,code_consistency,4,4,1
ag_073,proof_utility,2,3,0
ag_073,coverage_label,partial,partial,1
ag_073,vacuity_label,non_vacuous,non_vacuous,1
ag_074,semantic_faithfulness,4,4,1
ag_074,code_consistency,4,4,1
ag_074,proof_utility,2,2,1
ag_074,coverage_label,full,full,1
ag_074,vacuity_label,non_vacuous,non_vacuous,1
ag_075,semantic_faithfulness,4,4,1
ag_075,code_consistency,4,4,1
ag_075,proof_utility,2,2,1
ag_075,coverage_label,full,full,1
ag_075,vacuity_label,non_vacuous,non_vacuous,1
ag_076,semantic_faithfulness,4,4,1
ag_076,code_consistency,4,4,1
ag_076,proof_utility,2,2,1
ag_076,coverage_label,full,full,1
ag_076,vacuity_label,non_vacuous,non_vacuous,1
ag_077,semantic_faithfulness,3,3,1
ag_077,code_consistency,4,4,1
ag_077,proof_utility,2,2,1
ag_077,coverage_label,partial,partial,1
ag_077,vacuity_label,non_vacuous,non_vacuous,1
ag_078,semantic_faithfulness,4,4,1
ag_078,code_consistency,4,3,0
ag_078,proof_utility,2,2,1
ag_078,coverage_label,full,full,1
ag_078,vacuity_label,non_vacuous,non_vacuous,1
ag_079,semantic_faithfulness,3,4,0
ag_079,code_consistency,4,4,1
ag_079,proof_utility,2,2,1
ag_079,coverage_label,partial,partial,1
ag_079,vacuity_label,non_vacuous,non_vacuous,1
ag_080,semantic_faithfulness,4,4,1
ag_080,code_consistency,4,4,1
ag_080,proof_utility,4,4,1
ag_080,coverage_label,full,full,1
ag_080,vacuity_label,non_vacuous,non_vacuous,1
ag_081,semantic_faithfulness,4,4,1
ag_081,code_consistency,4,4,1
ag_081,proof_utility,3,3,1
ag_081,coverage_label,full,full,1
ag_081,vacuity_label,non_vacuous,vacuous,0
ag_082,semantic_faithfulness,4,4,1
ag_082,code_consistency,4,4,1
ag_082,proof_utility,3,3,1
ag_082,coverage_label,full,full,1
ag_082,vacuity_label,non_vacuous,non_vacuous,1
ag_083,semantic_faithfulness,4,4,1
ag_083,code_consistency,4,4,1
ag_083,proof_utility,3,3,1
ag_083,coverage_label,full,full,1
ag_083,vacuity_label,non_vacuous,vacuous,0
ag_084,semantic_faithfulness,4,4,1
ag_084,code_consistency,4,4,1
ag_084,proof_utility,3,3,1
ag_084,coverage_label,full,full,1
ag_084,vacuity_label,non_vacuous,non_vacuous,1
ag_085,semantic_faithfulness,4,4,1
ag_085,code_consistency,4,4,1
ag_085,proof_utility,3,3,1
ag_085,coverage_label,full,full,1
ag_085,vacuity_label,non_vacuous,non_vacuous,1
ag_086,semantic_faithfulness,4,4,1
ag_086,code_consistency,4,4,1
ag_086,proof_utility,3,3,1
ag_086,coverage_label,full,full,1
ag_086,vacuity_label,non_vacuous,non_vacuous,1
ag_087,semantic_faithfulness,4,4,1
ag_087,code_consistency,4,4,1
ag_087,proof_utility,3,3,1
ag_087,coverage_label,full,full,1
ag_087,vacuity_label,non_vacuous,non_vacuous,1
ag_088,semantic_faithfulness,4,4,1
ag_088,code_consistency,4,4,1
ag_088,proof_utility,3,3,1
ag_088,coverage_label,full,full,1
ag_088,vacuity_label,non_vacuous,non_vacuous,1
ag_089,semantic_faithfulness,4,4,1
ag_089,code_consistency,4,4,1
ag_089,proof_utility,3,3,1
ag_089,coverage_label,full,full,1
ag_089,vacuity_label,non_vacuous,non_vacuous,1
ag_090,semantic_faithfulness,4,4,1
ag_090,code_consistency,4,4,1
ag_090,proof_utility,3,3,1
ag_090,coverage_label,full,full,1
ag_090,vacuity_label,non_vacuous,non_vacuous,1
ag_091,semantic_faithfulness,4,4,1
ag_091,code_consistency,4,4,1
ag_091,proof_utility,3,2,0
ag_091,coverage_label,full,full,1
ag_091,vacuity_label,non_vacuous,non_vacuous,1
ag_092,semantic_faithfulness,4,4,1
ag_092,code_consistency,4,4,1
ag_092,proof_utility,3,3,1
ag_092,coverage_label,full,full,1
ag_092,vacuity_label,non_vacuous,non_vacuous,1
ag_093,semantic_faithfulness,4,4,1
ag_093,code_consistency,4,4,1
ag_093,proof_utility,3,3,1
ag_093,coverage_label,full,full,1
ag_093,vacuity_label,non_vacuous,non_vacuous,1
ag_094,semantic_faithfulness,4,4,1
ag_094,code_consistency,4,4,1
ag_094,proof_utility,3,3,1
ag_094,coverage_label,full,full,1
ag_094,vacuity_label,non_vacuous,non_vacuous,1
ag_095,semantic_faithfulness,4,4,1
ag_095,code_consistency,4,4,1
ag_095,proof_utility,3,3,1
ag_095,coverage_label,full,full,1
ag_095,vacuity_label,non_vacuous,non_vacuous,1
ag_096,semantic_faithfulness,4,4,1
ag_096,code_consistency,4,4,1
ag_096,proof_utility,3,3,1
ag_096,coverage_label,full,full,1
ag_096,vacuity_label,non_vacuous,non_vacuous,1
ag_097,semantic_faithfulness,2,2,1
ag_097,code_consistency,3,2,0
ag_097,proof_utility,1,1,1
ag_097,coverage_label,failed,failed,1
ag_097,vacuity_label,non_vacuous,non_vacuous,1
ag_098,semantic_faithfulness,3,3,1
ag_098,code_consistency,4,4,1
ag_098,proof_utility,2,2,1
ag_098,coverage_label,full,full,1
ag_098,vacuity_label,non_vacuous,non_vacuous,1
ag_099,semantic_faithfulness,2,2,1
ag_099,code_consistency,3,3,1
ag_099,proof_utility,1,2,0
ag_099,coverage_label,failed,failed,1
ag_099,vacuity_label,non_vacuous,non_vacuous,1
ag_100,semantic_faithfulness,4,3,0
ag_100,code_consistency,4,4,1
ag_100,proof_utility,2,1,0
ag_100,coverage_label,full,full,1
ag_100,vacuity_label,non_vacuous,non_vacuous,1
ag_101,semantic_faithfulness,3,3,1
ag_101,code_consistency,4,4,1
ag_101,proof_utility,2,2,1
ag_101,coverage_label,partial,partial,1
ag_101,vacuity_label,non_vacuous,non_vacuous,1
ag_102,semantic_faithfulness,3,3,1
ag_102,code_consistency,4,4,1
ag_102,proof_utility,2,2,1
ag_102,coverage_label,full,full,1
ag_102,vacuity_label,non_vacuous,non_vacuous,1
ag_103,semantic_faithfulness,3,3,1
ag_103,code_consistency,4,4,1
ag_103,proof_utility,2,2,1
ag_103,coverage_label,full,full,1
ag_103,vacuity_label,non_vacuous,non_vacuous,1
ag_104,semantic_faithfulness,3,3,1
ag_104,code_consistency,4,4,1
ag_104,proof_utility,3,3,1
ag_104,coverage_label,full,full,1
ag_104,vacuity_label,non_vacuous,non_vacuous,1
ag_105,semantic_faithfulness,2,2,1
ag_105,code_consistency,3,3,1
ag_105,proof_utility,1,1,1
ag_105,coverage_label,failed,failed,1
ag_105,vacuity_label,non_vacuous,non_vacuous,1
ag_106,semantic_faithfulness,3,3,1
ag_106,code_consistency,4,4,1
ag_106,proof_utility,2,2,1
ag_106,coverage_label,full,full,1
ag_106,vacuity_label,non_vacuous,non_vacuous,1
ag_107,semantic_faithfulness,2,2,1
ag_107,code_consistency,3,3,1
ag_107,proof_utility,1,1,1
ag_107,coverage_label,failed,failed,1
ag_107,vacuity_label,non_vacuous,non_vacuous,1
ag_108,semantic_faithfulness,4,4,1
ag_108,code_consistency,4,4,1
ag_108,proof_utility,2,1,0
ag_108,coverage_label,full,full,1
ag_108,vacuity_label,non_vacuous,non_vacuous,1
ag_109,semantic_faithfulness,3,3,1
ag_109,code_consistency,4,4,1
ag_109,proof_utility,2,3,0
ag_109,coverage_label,partial,partial,1
ag_109,vacuity_label,non_vacuous,non_vacuous,1
ag_110,semantic_faithfulness,3,3,1
ag_110,code_consistency,4,4,1
ag_110,proof_utility,2,1,0
ag_110,coverage_label,full,full,1
ag_110,vacuity_label,non_vacuous,vacuous,0
ag_111,semantic_faithfulness,3,3,1
ag_111,code_consistency,4,4,1
ag_111,proof_utility,2,2,1
ag_111,coverage_label,full,full,1
ag_111,vacuity_label,non_vacuous,non_vacuous,1
ag_112,semantic_faithfulness,3,3,1
ag_112,code_consistency,4,4,1
ag_112,proof_utility,3,3,1
ag_112,coverage_label,full,full,1
ag_112,vacuity_label,non_vacuous,non_vacuous,1
ag_113,semantic_faithfulness,3,3,1
ag_113,code_consistency,4,4,1
ag_113,proof_utility,2,2,1
ag_113,coverage_label,partial,partial,1
ag_113,vacuity_label,non_vacuous,non_vacuous,1
ag_114,semantic_faithfulness,3,3,1
ag_114,code_consistency,4,4,1
ag_114,proof_utility,2,2,1
ag_114,coverage_label,full,full,1
ag_114,vacuity_label,non_vacuous,non_vacuous,1
ag_115,semantic_faithfulness,4,4,1
ag_115,code_consistency,4,4,1
ag_115,proof_utility,2,1,0
ag_115,coverage_label,full,full,1
ag_115,vacuity_label,non_vacuous,non_vacuous,1
ag_116,semantic_faithfulness,4,4,1
ag_116,code_consistency,4,4,1
ag_116,proof_utility,3,3,1
ag_116,coverage_label,full,full,1
ag_116,vacuity_label,non_vacuous,non_vacuous,1
ag_117,semantic_faithfulness,3,3,1
ag_117,code_consistency,4,4,1
ag_117,proof_utility,2,1,0
ag_117,coverage_label,partial,partial,1
ag_117,vacuity_label,non_vacuous,non_vacuous,1
ag_118,semantic_faithfulness,3,4,0
ag_118,code_consistency,4,4,1
ag_118,proof_utility,2,2,1
ag_118,coverage_label,full,full,1
ag_118,vacuity_label,non_vacuous,non_vacuous,1
ag_119,semantic_faithfulness,3,3,1
ag_119,code_consistency,4,4,1
ag_119,proof_utility,2,2,1
ag_119,coverage_label,partial,partial,1
ag_119,vacuity_label,non_vacuous,non_vacuous,1
ag_120,semantic_faithfulness,3,3,1
ag_120,code_consistency,4,4,1
ag_120,proof_utility,3,3,1
ag_120,coverage_label,full,full,1
ag_120,vacuity_label,non_vacuous,non_vacuous,1
ag_121,semantic_faithfulness,3,3,1
ag_121,code_consistency,4,4,1
ag_121,proof_utility,2,2,1
ag_121,coverage_label,partial,partial,1
ag_121,vacuity_label,non_vacuous,non_vacuous,1
ag_122,semantic_faithfulness,3,3,1
ag_122,code_consistency,4,4,1
ag_122,proof_utility,2,2,1
ag_122,coverage_label,full,full,1
ag_122,vacuity_label,non_vacuous,non_vacuous,1
ag_123,semantic_faithfulness,4,4,1
ag_123,code_consistency,4,4,1
ag_123,proof_utility,2,2,1
ag_123,coverage_label,full,full,1
ag_123,vacuity_label,non_vacuous,non_vacuous,1
ag_124,semantic_faithfulness,4,4,1
ag_124,code_consistency,4,4,1
ag_124,proof_utility,3,3,1
ag_124,coverage_label,full,full,1
ag_124,vacuity_label,non_vacuous,non_vacuous,1
ag_125,semantic_faithfulness,3,3,1
ag_125,code_consistency,4,4,1
ag_125,proof_utility,2,2,1
ag_125,coverage_label,partial,partial,1
ag_125,vacuity_label,non_vacuous,non_vacuous,1
ag_126,semantic_faithfulness,3,3,1
ag_126,code_consistency,4,4,1
ag_126,proof_utility,2,2,1
ag_126,coverage_label,full,full,1
ag_126,vacuity_label,non_vacuous,non_vacuous,1
ag_127,semantic_faithfulness,3,3,1
ag_127,code_consistency,4,4,1
ag_127,proof_utility,2,3,0
ag_127,coverage_label,partial,partial,1
ag_127,vacuity_label,non_vacuous,non_vacuous,1
ag_128,semantic_faithfulness,3,3,1
ag_128,code_consistency,4,4,1
ag_128,proof_utility,3,3,1
ag_128,coverage_label,full,full,1
ag_128,vacuity_label,non_vacuous,non_vacuous,1
ag_129,semantic_faithfulness,4,4,1
ag_129,code_consistency,4,4,1
ag_129,proof_utility,2,2,1
ag_129,coverage_label,partial,failed,0
ag_129,vacuity_label,non_vacuous,vacuous,0
ag_130,semantic_faithfulness,4,4,1
ag_130,code_consistency,4,4,1
ag_130,proof_utility,2,2,1
ag_130,coverage_label,full,full,1
ag_130,vacuity_label,non_vacuous,non_vacuous,1
ag_131,semantic_faithfulness,4,4,1
ag_131,code_consistency,4,4,1
ag_131,proof_utility,2,2,1
ag_131,coverage_label,partial,partial,1
ag_131,vacuity_label,non_vacuous,non_vacuous,1
ag_132,semantic_faithfulness,4,4,1
ag_132,code_consistency,4,4,1
ag_132,proof_utility,3,3,1
ag_132,coverage_label,full,full,1
ag_132,vacuity_label,non_vacuous,non_vacuous,1
ag_133,semantic_faithfulness,4,4,1
ag_133,code_consistency,4,4,1
ag_133,proof_utility,2,2,1
ag_133,coverage_label,partial,partial,1
ag_133,vacuity_label,non_vacuous,non_vacuous,1
ag_134,semantic_faithfulness,4,4,1
ag_134,code_consistency,4,4,1
ag_134,proof_utility,2,2,1
ag_134,coverage_label,full,full,1
ag_134,vacuity_label,non_vacuous,non_vacuous,1
ag_135,semantic_faithfulness,4,4,1
ag_135,code_consistency,4,4,1
ag_135,proof_utility,2,2,1
ag_135,coverage_label,partial,partial,1
ag_135,vacuity_label,non_vacuous,non_vacuous,1
ag_136,semantic_faithfulness,4,4,1
ag_136,code_consistency,4,3,0
ag_136,proof_utility,3,3,1
ag_136,coverage_label,full,full,1
ag_136,vacuity_label,non_vacuous,non_vacuous,1
ag_137,semantic_faithfulness,4,4,1
ag_137,code_consistency,4,3,0
ag_137,proof_utility,2,1,0
ag_137,coverage_label,partial,partial,1
ag_137,vacuity_label,non_vacuous,non_vacuous,1
ag_138,semantic_faithfulness,4,4,1
ag_138,code_consistency,4,4,1
ag_138,proof_utility,2,2,1
ag_138,coverage_label,full,full,1
ag_138,vacuity_label,non_vacuous,non_vacuous,1
ag_139,semantic_faithfulness,4,4,1
ag_139,code_consistency,4,4,1
ag_139,proof_utility,2,2,1
ag_139,coverage_label,partial,partial,1
