anonymized_packet_key,semantic_faithfulness,code_consistency,proof_utility,vacuity_label,coverage_label
ag_075,4,4,2,non_vacuous,full
ag_076,4,4,2,non_vacuous,full
ag_077,3,4,2,non_vacuous,partial
ag_078,4,3,2,non_vacuous,full
ag_079,4,4,2,non_vacuous,partial
ag_080,4,4,4,non_vacuous,full
ag_081,4,4,3,vacuous,full
ag_082,4,4,3,non_vacuous,full
ag_083,4,4,3,vacuous,full
ag_084,4,4,3,non_vacuous,full
ag_085,4,4,3,non_vacuous,full
ag_086,4,4,3,non_vacuous,full
ag_087,4,4,3,non_vacuous,full
ag_088,4,4,3,non_vacuous,full
ag_089,4,4,3,non_vacuous,full
ag_090,4,4,3,non_vacuous,full
ag_091,4,4,2,non_vacuous,full
ag_092,4,4,3,non_vacuous,full
ag_093,4,4,3,non_vacuous,full
ag_094,4,4,3,non_vacuous,full
ag_095,4,4,3,non_vacuous,full
ag_096,4,4,3,non_vacuous,full
ag_097,2,2,1,non_vacuous,failed
ag_098,3,4,2,non_vacuous,full
ag_099,2,3,2,non_vacuous,failed
ag_100,3,4,1,non_vacuous,full
ag_101,3,4,2,non_vacuous,partial
ag_102,3,4,2,non_vacuous,full
ag_103,3,4,2,non_vacuous,full
ag_104,3,4,3,non_vacuous,full
ag_105,2,3,1,non_vacuous,failed
ag_106,3,4,2,non_vacuous,full
ag_107,2,3,1,non_vacuous,failed
ag_108,4,4,1,non_vacuous,full
ag_109,3,4,3,non_vacuous,partial
ag_110,3,4,1,vacuous,full
ag_111,3,4,2,non_vacuous,full
ag_112,3,4,3,non_vacuous,full
ag_113,3,4,2,non_vacuous,partial
ag_114,3,4,2,non_vacuous,full
ag_115,4,4,1,non_vacuous,full
ag_116,4,4,3,non_vacuous,full
ag_117,3,4,1,non_vacuous,partial
ag_118,4,4,2,non_vacuous,full
ag_119,3,4,2,non_vacuous,partial
ag_120,3,4,3,non_vacuous,full
ag_121,3,4,2,non_vacuous,partial
ag_122,3,4,2,non_vacuous,full
ag_123,4,4,2,non_vacuous,full
ag_124,4,4,3,non_vacuous,full
ag_125,3,4,2,non_vacuous,partial
ag_126,3,4,2,non_vacuous,full
ag_127,3,4,3,non_vacuous,partial
ag_128,3,4,3,non_vacuous,full
ag_129,4,4,2,vacuous,failed
ag_130,4,4,2,non_vacuous,full
ag_131,4,4,2,non_vacuous,partial
ag_132,4,4,3,non_vacuous,full
ag_133,4,4,2,non_vacuous,partial
ag_134,4,4,2,non_vacuous,full
ag_135,4,4,2,non_vacuous,partial
ag_136,4,3,3,non_vacuous,full
ag_137,4,3,1,non_vacuous,partial
ag_138,4,4,2,non_vacuous,full
ag_139,4,4,2,non_vacuous,partial
ag_140,4,4,3,non_vacuous,full
ag_141,4,4,2,non_vacuous,failed
ag_142,4,4,2,non_vacuous,full
ag_143,4,4,2,non_vacuous,partial
ag_144,4,4,3,non_vacuous,full
ag_145,4,3,2,non_vacuous,partial
ag_146,4,4,2,non_vacuous,full
ag_147,4,4,2,non_vacuous,full
ag_148,4,4,4,non_vacuous,full
ag_149,3,4,2,non_vacuous,partial
ag_150,4,4,2,non_vacuous,full
ag_151,4,4,2,non_vacuous,partial
ag_152,4,4,4,non_vacuous,full
ag_153,4,4,2,non_vacuous,partial
ag_154,4,4,2,vacuous,full
ag_155,4,4,2,non_vacuous,full
ag_156,4,4,4,non_vacuous,full
ag_157,3,4,2,non_vacuous,partial
ag_158,4,4,2,non_vacuous,full
ag_159,4,4,3,non_vacuous,partial
ag_160,4,4,4,non_vacuous,partial
ag_161,3,4,2,non_vacuous,partial
ag_162,4,4,2,non_vacuous,full
ag_163,4,4,2,non_vacuous,full
ag_164,4,4,4,non_vacuous,full
ag_165,3,4,2,non_vacuous,partial
ag_166,4,4,2,non_vacuous,full
ag_167,3,4,2,non_vacuous,partial
ag_168,4,4,4,vacuous,full
ag_169,3,4,2,non_vacuous,partial
ag_170,4,4,2,non_vacuous,full
ag_171,4,4,2,vacuous,full
ag_172,4,4,4,non_vacuous,partial
ag_173,3,4,2,non_vacuous,partial
ag_174,4,4,2,non_vacuous,full
ag_175,3,4,2,non_vacuous,partial
ag_176,4,4,3,non_vacuous,full
ag_177,3,4,3,non_vacuous,partial
ag_178,4,4,2,non_vacuous,full
ag_179,3,4,2,non_vacuous,partial
ag_180,4,4,3,non_vacuous,full
ag_181,2,4,2,non_vacuous,failed
ag_182,4,4,2,non_vacuous,full
ag_183,3,4,2,non_vacuous,partial
ag_184,4,4,3,non_vacuous,full
ag_185,3,4,2,non_vacuous,partial
ag_186,4,4,2,non_vacuous,full
ag_187,3,4,2,non_vacuous,partial
ag_188,4,3,3,non_vacuous,full
ag_189,2,4,1,non_vacuous,failed
ag_190,3,4,2,non_vacuous,partial
ag_191,3,4,2,non_vacuous,partial
ag_192,3,4,3,non_vacuous,full
