anonymized_packet_key,instance_id,system_id,family,semantic_faithfulness_label,semantic_faithfulness_code,code_consistency_label,code_consistency_code,proof_utility_label,proof_utility_code,vacuity_label,coverage_label,covered_units,partial_units,missing_units,contradiction_signal,notes
hs_026,arrays_max_subarray_001,text_only_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_027,arrays_max_subarray_002,code_only_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_028,arrays_max_subarray_002,full_method_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_029,arrays_max_subarray_002,naive_concat_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_030,arrays_max_subarray_002,text_only_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_031,arrays_max_subarray_003,code_only_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_032,arrays_max_subarray_003,full_method_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_033,arrays_max_subarray_003,naive_concat_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_034,arrays_max_subarray_003,text_only_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_035,arrays_max_subarray_004,full_method_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_036,arrays_max_subarray_004,naive_concat_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_037,arrays_max_subarray_004,text_only_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_038,arrays_max_subarray_005,full_method_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_039,arrays_max_subarray_005,naive_concat_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU2,SU1|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_040,arrays_max_subarray_005,text_only_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_041,arrays_max_subarray_006,full_method_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_042,arrays_max_subarray_006,naive_concat_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_043,arrays_max_subarray_006,text_only_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_044,arrays_max_subarray_007,naive_concat_v1,arrays_max_subarray,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU2,SU1|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_045,arrays_max_subarray_007,text_only_v1,arrays_max_subarray,faithful,3,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_046,dp_knapsack_01_001,code_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_047,dp_knapsack_01_001,full_method_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_048,dp_knapsack_01_001,naive_concat_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_049,dp_knapsack_01_001,text_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_050,dp_knapsack_01_002,code_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_051,dp_knapsack_01_002,full_method_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_052,dp_knapsack_01_002,naive_concat_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_053,dp_knapsack_01_002,text_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_054,dp_knapsack_01_003,code_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_055,dp_knapsack_01_003,full_method_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_056,dp_knapsack_01_003,naive_concat_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_057,dp_knapsack_01_003,text_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_058,dp_knapsack_01_004,code_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_059,dp_knapsack_01_004,full_method_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_060,dp_knapsack_01_004,naive_concat_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_061,dp_knapsack_01_004,text_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_062,dp_knapsack_01_005,code_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_063,dp_knapsack_01_005,full_method_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_064,dp_knapsack_01_005,naive_concat_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_065,dp_knapsack_01_005,text_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_066,dp_knapsack_01_006,code_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_067,dp_knapsack_01_006,naive_concat_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_068,dp_knapsack_01_006,text_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_069,dp_knapsack_01_007,code_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_070,dp_knapsack_01_007,full_method_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_071,dp_knapsack_01_007,naive_concat_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_072,dp_knapsack_01_007,text_only_v1,dp_knapsack_01,mostly_faithful,2,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_073,dp_longest_common_subsequence_001,code_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,full,SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_074,dp_longest_common_subsequence_001,full_method_v1,dp_longest_common_subsequence,partial,1,mostly_consistent,2,weak,1,non_vacuous,full,SU2|SU3|SU4,,,1,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_075,dp_longest_common_subsequence_001,naive_concat_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU2|SU3|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_076,dp_longest_common_subsequence_001,text_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU2|SU3|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_077,dp_longest_common_subsequence_002,code_only_v1,dp_longest_common_subsequence,faithful,3,consistent,3,weak,1,non_vacuous,full,SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_078,dp_longest_common_subsequence_002,full_method_v1,dp_longest_common_subsequence,partial,1,mostly_consistent,2,weak,1,non_vacuous,full,SU2|SU3|SU4,,,1,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_079,dp_longest_common_subsequence_002,naive_concat_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU2|SU3|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_080,dp_longest_common_subsequence_002,text_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU2|SU3|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_081,dp_longest_common_subsequence_003,code_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,full,SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_082,dp_longest_common_subsequence_003,full_method_v1,dp_longest_common_subsequence,partial,1,mostly_consistent,2,weak,1,non_vacuous,full,SU2|SU3|SU4,,,1,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_083,dp_longest_common_subsequence_003,naive_concat_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU2|SU3|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_084,dp_longest_common_subsequence_003,text_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU2|SU3|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_085,dp_longest_common_subsequence_004,code_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,full,SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_086,dp_longest_common_subsequence_004,full_method_v1,dp_longest_common_subsequence,partial,1,mostly_consistent,2,weak,1,non_vacuous,full,SU2|SU3|SU4,,,1,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_087,dp_longest_common_subsequence_004,naive_concat_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU2|SU4,SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_088,dp_longest_common_subsequence_004,text_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU2|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_089,dp_longest_common_subsequence_005,naive_concat_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU4,SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_090,dp_longest_common_subsequence_005,text_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU2|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_091,dp_longest_common_subsequence_006,code_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,full,SU2|SU3|SU4,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_092,dp_longest_common_subsequence_006,naive_concat_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU2|SU4,SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_093,dp_longest_common_subsequence_006,text_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU2|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_094,dp_longest_common_subsequence_007,naive_concat_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU4,SU2|SU3,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_095,dp_longest_common_subsequence_007,text_only_v1,dp_longest_common_subsequence,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU2|SU4,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_096,graph_bfs_shortest_path_001,code_only_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_097,graph_bfs_shortest_path_001,full_method_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_098,graph_bfs_shortest_path_001,naive_concat_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_099,graph_bfs_shortest_path_001,text_only_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_100,graph_bfs_shortest_path_002,code_only_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_101,graph_bfs_shortest_path_002,full_method_v1,graph_bfs_shortest_path,faithful,3,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_102,graph_bfs_shortest_path_002,naive_concat_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_103,graph_bfs_shortest_path_002,text_only_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_104,graph_bfs_shortest_path_003,code_only_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_105,graph_bfs_shortest_path_003,full_method_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_106,graph_bfs_shortest_path_003,naive_concat_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_107,graph_bfs_shortest_path_003,text_only_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,failed,,,SU1|SU2|SU3|SU4|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_108,graph_bfs_shortest_path_004,code_only_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_109,graph_bfs_shortest_path_004,full_method_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_110,graph_bfs_shortest_path_004,naive_concat_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_111,graph_bfs_shortest_path_004,text_only_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2|SU4|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_112,graph_bfs_shortest_path_005,code_only_v1,graph_bfs_shortest_path,faithful,3,consistent,3,weak,1,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_113,graph_bfs_shortest_path_005,full_method_v1,graph_bfs_shortest_path,faithful,3,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_114,graph_bfs_shortest_path_005,naive_concat_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3|SU4,SU1|SU2|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_115,graph_bfs_shortest_path_005,text_only_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2|SU4|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_116,graph_bfs_shortest_path_006,text_only_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2|SU4|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_117,graph_bfs_shortest_path_007,naive_concat_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3|SU4,SU1|SU2|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_118,graph_bfs_shortest_path_007,text_only_v1,graph_bfs_shortest_path,mostly_faithful,2,consistent,3,weak,1,non_vacuous,partial,,SU3,SU1|SU2|SU4|SU5,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_119,graph_dijkstra_001,code_only_v1,graph_dijkstra,faithful,3,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_120,graph_dijkstra_001,full_method_v1,graph_dijkstra,faithful,3,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_121,graph_dijkstra_001,naive_concat_v1,graph_dijkstra,faithful,3,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_122,graph_dijkstra_001,text_only_v1,graph_dijkstra,faithful,3,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
hs_123,graph_dijkstra_002,code_only_v1,graph_dijkstra,faithful,3,consistent,3,useful,2,non_vacuous,full,SU1|SU2|SU3|SU4|SU5|SU6,,,0,strict v3 primary adjudication rebuilt from strict queue + packet evidence
