instance_id,family,domain,split,system,faithfulness_mean,code_consistency_mean,vacuity_rate,proof_utility_mean,contradiction_flag,missing_critical_units,failure_mode_label,annotation_origin,source_template_id,repair_subset
dp_longest_common_subsequence_001,dp_longest_common_subsequence,dp,dev,naive_concat_v1,0.5909,1.0000,0.0000,0.2570,false,1,,direct_adjudicated,dp_longest_common_subsequence_001,no
dp_longest_common_subsequence_001,dp_longest_common_subsequence,dp,dev,text_only_v1,0.5556,1.0000,0.0000,0.2520,false,2,,direct_adjudicated,dp_longest_common_subsequence_001,no
dp_longest_common_subsequence_002,dp_longest_common_subsequence,dp,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,dp_longest_common_subsequence_002,no
dp_longest_common_subsequence_002,dp_longest_common_subsequence,dp,dev,full_method_v1,0.8125,1.0000,0.0000,0.2884,false,0,,direct_adjudicated,dp_longest_common_subsequence_002,no
dp_longest_common_subsequence_002,dp_longest_common_subsequence,dp,dev,naive_concat_v1,0.5500,1.0000,0.0000,0.2512,false,2,,direct_adjudicated,dp_longest_common_subsequence_002,no
dp_longest_common_subsequence_002,dp_longest_common_subsequence,dp,dev,text_only_v1,0.5625,1.0000,0.0000,0.2530,false,2,,direct_adjudicated,dp_longest_common_subsequence_002,no
graph_bfs_shortest_path_001,graph_bfs_shortest_path,graph,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,graph_bfs_shortest_path_001,no
graph_bfs_shortest_path_001,graph_bfs_shortest_path,graph,dev,full_method_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,graph_bfs_shortest_path_001,no
graph_bfs_shortest_path_001,graph_bfs_shortest_path,graph,dev,naive_concat_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,graph_bfs_shortest_path_001,no
graph_bfs_shortest_path_001,graph_bfs_shortest_path,graph,dev,text_only_v1,0.5714,1.0000,0.0000,0.2542,false,4,,direct_adjudicated,graph_bfs_shortest_path_001,no
graph_bfs_shortest_path_002,graph_bfs_shortest_path,graph,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,graph_bfs_shortest_path_002,no
graph_bfs_shortest_path_002,graph_bfs_shortest_path,graph,dev,full_method_v1,1.0000,1.0000,0.0000,0.7650,false,0,,direct_adjudicated,graph_bfs_shortest_path_002,no
graph_bfs_shortest_path_002,graph_bfs_shortest_path,graph,dev,naive_concat_v1,0.7000,1.0000,0.0000,0.2725,false,3,,direct_adjudicated,graph_bfs_shortest_path_002,no
graph_bfs_shortest_path_002,graph_bfs_shortest_path,graph,dev,text_only_v1,0.6667,1.0000,0.0000,0.2677,false,4,,direct_adjudicated,graph_bfs_shortest_path_002,no
graph_dijkstra_001,graph_dijkstra,graph,dev,code_only_v1,0.9167,1.0000,0.0000,0.7363,false,0,,direct_adjudicated,graph_dijkstra_001,no
graph_dijkstra_001,graph_dijkstra,graph,dev,full_method_v1,0.9286,1.0000,0.0000,0.7404,false,0,,direct_adjudicated,graph_dijkstra_001,no
graph_dijkstra_001,graph_dijkstra,graph,dev,naive_concat_v1,0.9286,1.0000,0.0000,0.7404,false,0,,direct_adjudicated,graph_dijkstra_001,no
graph_dijkstra_001,graph_dijkstra,graph,dev,text_only_v1,0.9286,1.0000,0.0000,0.7404,false,0,,direct_adjudicated,graph_dijkstra_001,no
graph_dijkstra_002,graph_dijkstra,graph,dev,code_only_v1,0.9167,1.0000,0.0000,0.7363,false,0,,direct_adjudicated,graph_dijkstra_002,no
graph_dijkstra_002,graph_dijkstra,graph,dev,full_method_v1,0.9286,1.0000,0.0000,0.7404,false,0,,direct_adjudicated,graph_dijkstra_002,no
graph_dijkstra_002,graph_dijkstra,graph,dev,naive_concat_v1,0.9286,1.0000,0.0000,0.7404,false,0,,direct_adjudicated,graph_dijkstra_002,no
graph_dijkstra_002,graph_dijkstra,graph,dev,text_only_v1,0.9286,1.0000,0.0000,0.7404,false,0,,direct_adjudicated,graph_dijkstra_002,no
greedy_coin_change_canonical_001,greedy_coin_change_canonical,greedy,dev,code_only_v1,0.7500,1.0000,0.0000,0.2796,false,0,,direct_adjudicated,greedy_coin_change_canonical_001,no
greedy_coin_change_canonical_001,greedy_coin_change_canonical,greedy,dev,full_method_v1,0.8000,1.0000,0.0000,0.2867,false,0,,direct_adjudicated,greedy_coin_change_canonical_001,no
greedy_coin_change_canonical_001,greedy_coin_change_canonical,greedy,dev,naive_concat_v1,0.5000,0.5500,0.0833,0.2441,false,3,,direct_adjudicated,greedy_coin_change_canonical_001,no
greedy_coin_change_canonical_001,greedy_coin_change_canonical,greedy,dev,text_only_v1,0.5000,0.5500,0.2500,0.2441,false,3,,direct_adjudicated,greedy_coin_change_canonical_001,no
greedy_coin_change_canonical_002,greedy_coin_change_canonical,greedy,dev,code_only_v1,0.7500,1.0000,0.0000,0.2796,false,0,,direct_adjudicated,greedy_coin_change_canonical_002,no
greedy_coin_change_canonical_002,greedy_coin_change_canonical,greedy,dev,full_method_v1,0.7500,1.0000,0.0000,0.6789,false,0,,direct_adjudicated,greedy_coin_change_canonical_002,no
greedy_coin_change_canonical_002,greedy_coin_change_canonical,greedy,dev,naive_concat_v1,0.5833,1.0000,0.0000,0.2559,false,0,,direct_adjudicated,greedy_coin_change_canonical_002,no
greedy_coin_change_canonical_002,greedy_coin_change_canonical,greedy,dev,text_only_v1,0.5714,1.0000,0.0000,0.2542,false,2,,direct_adjudicated,greedy_coin_change_canonical_002,no
greedy_interval_scheduling_001,greedy_interval_scheduling,greedy,dev,code_only_v1,0.7500,1.0000,0.0000,0.2796,false,0,,direct_adjudicated,greedy_interval_scheduling_001,no
greedy_interval_scheduling_001,greedy_interval_scheduling,greedy,dev,full_method_v1,0.8000,1.0000,0.0000,0.6962,false,0,,direct_adjudicated,greedy_interval_scheduling_001,no
greedy_interval_scheduling_001,greedy_interval_scheduling,greedy,dev,naive_concat_v1,0.8750,1.0000,0.0000,0.2973,false,0,,direct_adjudicated,greedy_interval_scheduling_001,no
greedy_interval_scheduling_001,greedy_interval_scheduling,greedy,dev,text_only_v1,0.5455,1.0000,0.0909,0.2506,false,2,,direct_adjudicated,greedy_interval_scheduling_001,no
greedy_interval_scheduling_002,greedy_interval_scheduling,greedy,dev,code_only_v1,0.7500,1.0000,0.0000,0.2796,false,0,,direct_adjudicated,greedy_interval_scheduling_002,no
greedy_interval_scheduling_002,greedy_interval_scheduling,greedy,dev,full_method_v1,0.7500,1.0000,0.0000,0.6789,false,0,,direct_adjudicated,greedy_interval_scheduling_002,no
greedy_interval_scheduling_002,greedy_interval_scheduling,greedy,dev,naive_concat_v1,0.5667,1.0000,0.0000,0.2536,false,1,,direct_adjudicated,greedy_interval_scheduling_002,no
greedy_interval_scheduling_002,greedy_interval_scheduling,greedy,dev,text_only_v1,0.5455,1.0000,0.0909,0.2506,false,2,,direct_adjudicated,greedy_interval_scheduling_002,no
sorting_insertion_sort_001,sorting_insertion_sort,sorting,dev,code_only_v1,0.8333,1.0000,0.0000,0.2914,false,0,,direct_adjudicated,sorting_insertion_sort_001,no
sorting_insertion_sort_001,sorting_insertion_sort,sorting,dev,full_method_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,sorting_insertion_sort_001,no
sorting_insertion_sort_001,sorting_insertion_sort,sorting,dev,naive_concat_v1,0.7778,1.0000,0.1111,0.2835,false,1,,direct_adjudicated,sorting_insertion_sort_001,no
sorting_insertion_sort_002,sorting_insertion_sort,sorting,dev,code_only_v1,0.8333,1.0000,0.0000,0.2914,false,0,,direct_adjudicated,sorting_insertion_sort_002,no
sorting_insertion_sort_002,sorting_insertion_sort,sorting,dev,full_method_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,sorting_insertion_sort_002,no
sorting_insertion_sort_002,sorting_insertion_sort,sorting,dev,naive_concat_v1,0.8182,1.0000,0.0909,0.2892,false,1,,direct_adjudicated,sorting_insertion_sort_002,no
sorting_insertion_sort_002,sorting_insertion_sort,sorting,dev,text_only_v1,1.0000,1.0000,0.0000,0.3150,false,1,,direct_adjudicated,sorting_insertion_sort_002,no
sorting_merge_sort_001,sorting_merge_sort,sorting,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,sorting_merge_sort_001,no
sorting_merge_sort_001,sorting_merge_sort,sorting,dev,full_method_v1,1.0000,1.0000,0.0000,0.7650,false,0,,direct_adjudicated,sorting_merge_sort_001,no
sorting_merge_sort_001,sorting_merge_sort,sorting,dev,naive_concat_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,sorting_merge_sort_001,no
sorting_merge_sort_001,sorting_merge_sort,sorting,dev,text_only_v1,1.0000,1.0000,0.0000,0.3150,false,2,,direct_adjudicated,sorting_merge_sort_001,no
sorting_merge_sort_002,sorting_merge_sort,sorting,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,sorting_merge_sort_002,no
sorting_merge_sort_002,sorting_merge_sort,sorting,dev,full_method_v1,1.0000,1.0000,0.0000,0.7650,false,0,,direct_adjudicated,sorting_merge_sort_002,no
sorting_merge_sort_002,sorting_merge_sort,sorting,dev,naive_concat_v1,0.9545,1.0000,0.0000,0.3086,false,2,,direct_adjudicated,sorting_merge_sort_002,no
sorting_merge_sort_002,sorting_merge_sort,sorting,dev,text_only_v1,0.5833,1.0000,0.0000,0.2559,false,2,,direct_adjudicated,sorting_merge_sort_002,no
trees_bst_insert_001,trees_bst_insert,trees,dev,code_only_v1,0.9000,1.0000,0.0000,0.3008,false,0,,direct_adjudicated,trees_bst_insert_001,no
trees_bst_insert_001,trees_bst_insert,trees,dev,full_method_v1,1.0000,1.0000,0.0000,0.7650,false,0,,direct_adjudicated,trees_bst_insert_001,no
trees_bst_insert_001,trees_bst_insert,trees,dev,naive_concat_v1,0.8750,1.0000,0.0000,0.2973,false,0,,direct_adjudicated,trees_bst_insert_001,no
trees_bst_insert_001,trees_bst_insert,trees,dev,text_only_v1,0.5455,1.0000,0.0000,0.2506,false,2,,direct_adjudicated,trees_bst_insert_001,no
trees_bst_insert_002,trees_bst_insert,trees,dev,code_only_v1,1.0000,1.0000,0.0000,0.3150,false,0,,direct_adjudicated,trees_bst_insert_002,no
trees_bst_insert_002,trees_bst_insert,trees,dev,full_method_v1,0.9000,1.0000,0.0000,0.7306,false,0,,direct_adjudicated,trees_bst_insert_002,no
trees_bst_insert_002,trees_bst_insert,trees,dev,naive_concat_v1,0.7000,1.0000,0.0000,0.2725,false,1,,direct_adjudicated,trees_bst_insert_002,no
trees_bst_insert_002,trees_bst_insert,trees,dev,text_only_v1,0.6111,1.0000,0.0000,0.2599,false,2,,direct_adjudicated,trees_bst_insert_002,no
trees_lowest_common_ancestor_001,trees_lowest_common_ancestor,trees,dev,code_only_v1,0.8333,1.0000,0.0000,0.2914,false,0,,direct_adjudicated,trees_lowest_common_ancestor_001,no
trees_lowest_common_ancestor_001,trees_lowest_common_ancestor,trees,dev,full_method_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,trees_lowest_common_ancestor_001,no
trees_lowest_common_ancestor_001,trees_lowest_common_ancestor,trees,dev,naive_concat_v1,0.5833,1.0000,0.0000,0.2559,false,2,,direct_adjudicated,trees_lowest_common_ancestor_001,no
trees_lowest_common_ancestor_001,trees_lowest_common_ancestor,trees,dev,text_only_v1,0.5909,1.0000,0.0000,0.2570,false,3,,direct_adjudicated,trees_lowest_common_ancestor_001,no
trees_lowest_common_ancestor_002,trees_lowest_common_ancestor,trees,dev,code_only_v1,0.8333,1.0000,0.0000,0.2914,false,0,,direct_adjudicated,trees_lowest_common_ancestor_002,no
trees_lowest_common_ancestor_002,trees_lowest_common_ancestor,trees,dev,full_method_v1,0.8333,1.0000,0.0000,0.7076,false,0,,direct_adjudicated,trees_lowest_common_ancestor_002,no
trees_lowest_common_ancestor_002,trees_lowest_common_ancestor,trees,dev,naive_concat_v1,0.6667,1.0000,0.0000,0.2677,false,1,,direct_adjudicated,trees_lowest_common_ancestor_002,no
trees_lowest_common_ancestor_002,trees_lowest_common_ancestor,trees,dev,text_only_v1,0.5000,1.0000,0.0000,0.2441,false,4,,direct_adjudicated,trees_lowest_common_ancestor_002,no
