run_id,benchmark_version,system_id,provider,model_name,model_version,prompt_template_sha,prompt_template_path,num_samples_per_instance,selection_rule,temperature,top_p,max_output_tokens,card_model_name,card_model_version,model_matches_system_card,manifest_path
run_2026_04_22_code_only_v1_eval_zzzzzzzz_focus6_greedy_retry_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:c264f71194451652e7213bfb3e30aedc705058cc26d540aa1f4580aae5a05baf,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.5,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzz_focus6_greedy_retry_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzz_focus6_semalign_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:0cfdc8055ad0e6d6b0adc90b9ef37a5f978ce07c3d34f549bb95ef35206c4c7d,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.2,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzz_focus6_semalign_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzza_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:0cfdc8055ad0e6d6b0adc90b9ef37a5f978ce07c3d34f549bb95ef35206c4c7d,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.2,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzza_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzb_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:166edea6e31934af596868840b63689c39f59f425f2903e7cfa6122b61da6674,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.3,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzb_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzc_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:166edea6e31934af596868840b63689c39f59f425f2903e7cfa6122b61da6674,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.6,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzc_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzd_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:5b497c02f6267f136ade95f1450b23ecb0125f30dac211fc64e3a319ac639e10,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.45,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzd_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzf_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzf_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzs_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:5b497c02f6267f136ade95f1450b23ecb0125f30dac211fc64e3a319ac639e10,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.65,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzs_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzt_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:5b497c02f6267f136ade95f1450b23ecb0125f30dac211fc64e3a319ac639e10,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.65,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzt_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzt_002,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:5b497c02f6267f136ade95f1450b23ecb0125f30dac211fc64e3a319ac639e10,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.35,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzt_002/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzu_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:5b497c02f6267f136ade95f1450b23ecb0125f30dac211fc64e3a319ac639e10,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.72,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzu_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzv_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:5b497c02f6267f136ade95f1450b23ecb0125f30dac211fc64e3a319ac639e10,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.72,,3072,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzv_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_001,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_001/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_090,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_090/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_091,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_091/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_092,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_092/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_093,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_093/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_094,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_094/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_095,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_095/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_096,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_096/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_097,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_097/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_098,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_098/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_111,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_111/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_112,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_112/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_113,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_113/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_114,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_114/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_115,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_115/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_116,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_116/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_117,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_117/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_118,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_118/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_119,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_119/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_120,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_120/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_121,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_121/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_122,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_122/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_123,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_123/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_124,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_124/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_125,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_125/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_126,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_126/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_127,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_127/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_128,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_128/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_129,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_129/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_130,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_130/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_131,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_131/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_298,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_298/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_299,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_299/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_300,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_300/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_301,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_301/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_302,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_302/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_303,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_303/run_manifest.json
run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_304,v0.2,code_only_v1,openai,gpt-5.4-nano,unknown,sha256:672e8dfa6ececd0ca0d80f2704e60c0870d256a37c21f25291af27a00b60ab39,configs/prompts/code_only_v1.json,3,first_parseable_json_object; tie-break lowest obligation count then lexicographic raw text,0.0,,2048,gpt-5.4-nano,unknown,true,runs/run_2026_04_22_code_only_v1_eval_zzzzzzzzzzzz_304/run_manifest.json
